IDX__global,IDX__step,IDX__sub_step,TARG__MGP_CSUD,FUTU__D_CSUD,FUTU__WIND_CSUD,CONST__wd_sin,CONST__wd_cos,Hour,Date
59,2,11,52.89,5545,234.261,-0.974928,-0.222521,11,2015-01-03
60,2,12,50.99,5314,294.064,-0.974928,-0.222521,12,2015-01-03
61,2,13,50.87,5132,389.532,-0.974928,-0.222521,13,2015-01-03
62,2,14,52.19,5008,491.952,-0.974928,-0.222521,14,2015-01-03
63,2,15,54.76,5123,569.991,-0.974928,-0.222521,15,2015-01-03
64,2,16,58.91,5566,620.835,-0.974928,-0.222521,16,2015-01-03
65,2,17,63.2,5908,675.423,-0.974928,-0.222521,17,2015-01-03
66,2,18,58.77,6025,729.842,-0.974928,-0.222521,18,2015-01-03
67,2,19,58.71,6268,786.18,-0.974928,-0.222521,19,2015-01-03
68,2,20,56.19,6002,817.674,-0.974928,-0.222521,20,2015-01-03
69,2,21,48.99,5512,830.943,-0.974928,-0.222521,21,2015-01-03
70,2,22,41.4,5063,821.157,-0.974928,-0.222521,22,2015-01-03
71,2,23,39.1,4571,790.192,-0.974928,-0.222521,23,2015-01-03
72,3,0,38.85,3934,828.44,-0.781831,0.62349,0,2015-01-04
73,3,1,34.43,3503,790.985,-0.781831,0.62349,1,2015-01-04
74,3,2,27.0,3268,747.36,-0.781831,0.62349,2,2015-01-04
75,3,3,19.4,3068,700.712,-0.781831,0.62349,3,2015-01-04
76,3,4,18.0,3022,644.086,-0.781831,0.62349,4,2015-01-04
77,3,5,21.0,3086,561.173,-0.781831,0.62349,5,2015-01-04
78,3,6,38.51,3391,449.164,-0.781831,0.62349,6,2015-01-04
79,3,7,44.56,3612,294.084,-0.781831,0.62349,7,2015-01-04
80,3,8,50.0,3950,234.222,-0.781831,0.62349,8,2015-01-04
81,3,9,52.65,4515,145.307,-0.781831,0.62349,9,2015-01-04
82,3,10,51.15,4919,116.608,-0.781831,0.62349,10,2015-01-04
83,3,11,49.78,5049,149.066,-0.781831,0.62349,11,2015-01-04
84,3,12,45.66,5338,217.573,-0.781831,0.62349,12,2015-01-04
85,3,13,40.14,5016,314.359,-0.781831,0.62349,13,2015-01-04
86,3,14,39.1,4830,422.525,-0.781831,0.62349,14,2015-01-04
87,3,15,49.3,4873,518.444,-0.781831,0.62349,15,2015-01-04
88,3,16,53.79,5095,589.864,-0.781831,0.62349,16,2015-01-04
89,3,17,63.74,5645,641.232,-0.781831,0.62349,17,2015-01-04
90,3,18,61.99,5876,681.85,-0.781831,0.62349,18,2015-01-04
91,3,19,64.0,6042,695.886,-0.781831,0.62349,19,2015-01-04
92,3,20,64.0,5982,701.319,-0.781831,0.62349,20,2015-01-04
93,3,21,53.93,5704,719.107,-0.781831,0.62349,21,2015-01-04
94,3,22,49.1,5233,727.033,-0.781831,0.62349,22,2015-01-04
95,3,23,45.61,4640,733.608,-0.781831,0.62349,23,2015-01-04
96,4,0,47.72,4528,652.978,0.0,1.0,0,2015-01-05
97,4,1,39.1,4024,633.142,0.0,1.0,1,2015-01-05
98,4,2,35.21,3668,602.497,0.0,1.0,2,2015-01-05
99,4,3,32.43,3579,572.023,0.0,1.0,3,2015-01-05
100,4,4,33.15,3669,562.619,0.0,1.0,4,2015-01-05
101,4,5,38.85,3862,540.546,0.0,1.0,5,2015-01-05
102,4,6,48.89,4374,546.791,0.0,1.0,6,2015-01-05
103,4,7,60.03,5074,550.701,0.0,1.0,7,2015-01-05
104,4,8,63.98,5848,561.43,0.0,1.0,8,2015-01-05
105,4,9,64.5,6643,596.54,0.0,1.0,9,2015-01-05
106,4,10,55.49,6812,658.47,0.0,1.0,10,2015-01-05
107,4,11,53.5,6749,706.777,0.0,1.0,11,2015-01-05
108,4,12,51.0,6784,795.762,0.0,1.0,12,2015-01-05
109,4,13,50.39,6712,777.767,0.0,1.0,13,2015-01-05
110,4,14,54.45,6671,718.032,0.0,1.0,14,2015-01-05
111,4,15,64.0,6419,643.451,0.0,1.0,15,2015-01-05
112,4,16,64.25,6337,574.31,0.0,1.0,16,2015-01-05
113,4,17,68.64,7192,521.353,0.0,1.0,17,2015-01-05
114,4,18,67.0,7460,437.893,0.0,1.0,18,2015-01-05
115,4,19,65.26,7460,357.56,0.0,1.0,19,2015-01-05
116,4,20,64.0,7156,262.512,0.0,1.0,20,2015-01-05
117,4,21,58.0,6586,206.895,0.0,1.0,21,2015-01-05
118,4,22,52.1,5951,200.158,0.0,1.0,22,2015-01-05
119,4,23,51.0,5221,215.348,0.0,1.0,23,2015-01-05
120,5,0,49.78,4762,300.904,0.781831,0.62349,0,2015-01-06
121,5,1,45.21,4394,360.447,0.781831,0.62349,1,2015-01-06
122,5,2,38.8,4122,396.318,0.781831,0.62349,2,2015-01-06
123,5,3,35.0,3972,425.21,0.781831,0.62349,3,2015-01-06
124,5,4,33.43,3843,450.1,0.781831,0.62349,4,2015-01-06
125,5,5,37.58,3955,454.142,0.781831,0.62349,5,2015-01-06
126,5,6,43.5,4167,430.493,0.781831,0.62349,6,2015-01-06
127,5,7,52.0,4149,402.021,0.781831,0.62349,7,2015-01-06
128,5,8,52.0,4388,366.49,0.781831,0.62349,8,2015-01-06
129,5,9,51.04,5372,336.329,0.781831,0.62349,9,2015-01-06
130,5,10,50.28,6010,316.485,0.781831,0.62349,10,2015-01-06
131,5,11,49.1,6087,308.776,0.781831,0.62349,11,2015-01-06
132,5,12,47.97,6032,297.107,0.781831,0.62349,12,2015-01-06
133,5,13,45.11,5754,275.345,0.781831,0.62349,13,2015-01-06
134,5,14,45.44,5393,240.376,0.781831,0.62349,14,2015-01-06
135,5,15,52.49,5285,198.114,0.781831,0.62349,15,2015-01-06
136,5,16,57.89,5437,157.745,0.781831,0.62349,16,2015-01-06
137,5,17,64.0,6294,133.622,0.781831,0.62349,17,2015-01-06
138,5,18,65.85,6529,115.579,0.781831,0.62349,18,2015-01-06
139,5,19,67.1,6554,96.762,0.781831,0.62349,19,2015-01-06
140,5,20,67.0,6407,78.275,0.781831,0.62349,20,2015-01-06
141,5,21,65.0,6131,57.196,0.781831,0.62349,21,2015-01-06
142,5,22,60.678486,5566,41.464,0.781831,0.62349,22,2015-01-06
143,5,23,51.068946,4803,29.43,0.781831,0.62349,23,2015-01-06
144,6,0,49.92,4568,40.678,0.974928,-0.222521,0,2015-01-07
145,6,1,45.5,4091,32.595,0.974928,-0.222521,1,2015-01-07
146,6,2,45.0,3741,26.878,0.974928,-0.222521,2,2015-01-07
147,6,3,41.85,3600,23.023,0.974928,-0.222521,3,2015-01-07
148,6,4,41.85,3633,20.119,0.974928,-0.222521,4,2015-01-07
149,6,5,44.32,3955,14.62,0.974928,-0.222521,5,2015-01-07
150,6,6,51.96,4818,4.29,0.974928,-0.222521,6,2015-01-07
151,6,7,70.0,5993,0.0,0.974928,-0.222521,7,2015-01-07
152,6,8,74.0,6750,0.0,0.974928,-0.222521,8,2015-01-07
153,6,9,70.95,7602,0.0,0.974928,-0.222521,9,2015-01-07
154,6,10,66.4,7786,0.0,0.974928,-0.222521,10,2015-01-07
155,6,11,63.98,7811,0.0,0.974928,-0.222521,11,2015-01-07
156,6,12,54.99,7900,0.0,0.974928,-0.222521,12,2015-01-07
157,6,13,52.62,7628,0.0,0.974928,-0.222521,13,2015-01-07
158,6,14,64.342233,7614,0.0,0.974928,-0.222521,14,2015-01-07
159,6,15,65.0,7573,0.0,0.974928,-0.222521,15,2015-01-07
160,6,16,71.1,7443,0.0,0.974928,-0.222521,16,2015-01-07
161,6,17,95.0,7976,0.0,0.974928,-0.222521,17,2015-01-07
162,6,18,99.0,7971,0.0,0.974928,-0.222521,18,2015-01-07
163,6,19,95.66,7909,0.0,0.974928,-0.222521,19,2015-01-07
164,6,20,80.0,7457,0.0,0.974928,-0.222521,20,2015-01-07
165,6,21,75.64,6939,0.0,0.974928,-0.222521,21,2015-01-07
166,6,22,67.36,6167,0.0,0.974928,-0.222521,22,2015-01-07
167,6,23,60.51,5231,0.0,0.974928,-0.222521,23,2015-01-07
168,7,0,46.481837,4305,0.0,0.433884,-0.900969,0,2015-01-08
169,7,1,40.85,3881,0.0,0.433884,-0.900969,1,2015-01-08
170,7,2,40.03,3657,1.758,0.433884,-0.900969,2,2015-01-08
171,7,3,38.85,3555,2.473,0.433884,-0.900969,3,2015-01-08
172,7,4,39.1,3532,9.441,0.433884,-0.900969,4,2015-01-08
173,7,5,44.41,3802,10.95,0.433884,-0.900969,5,2015-01-08
174,7,6,60.0,4595,15.681,0.433884,-0.900969,6,2015-01-08
175,7,7,66.4,5701,8.622,0.433884,-0.900969,7,2015-01-08
176,7,8,78.24,6462,0.0,0.433884,-0.900969,8,2015-01-08
177,7,9,76.0,7044,0.0,0.433884,-0.900969,9,2015-01-08
178,7,10,71.35,7306,0.606,0.433884,-0.900969,10,2015-01-08
179,7,11,66.95,7403,10.536,0.433884,-0.900969,11,2015-01-08
180,7,12,57.75,7441,11.957,0.433884,-0.900969,12,2015-01-08
181,7,13,57.89,7194,0.0,0.433884,-0.900969,13,2015-01-08
182,7,14,65.15,7347,0.0,0.433884,-0.900969,14,2015-01-08
183,7,15,65.0,7369,0.0,0.433884,-0.900969,15,2015-01-08
184,7,16,69.99,7365,3.492,0.433884,-0.900969,16,2015-01-08
185,7,17,94.0,7738,9.802,0.433884,-0.900969,17,2015-01-08
186,7,18,94.0,7694,56.598,0.433884,-0.900969,18,2015-01-08
187,7,19,90.0,7644,77.001,0.433884,-0.900969,19,2015-01-08
188,7,20,78.8,7128,102.014,0.433884,-0.900969,20,2015-01-08
189,7,21,69.24,6587,135.461,0.433884,-0.900969,21,2015-01-08
190,7,22,60.99,5817,177.06,0.433884,-0.900969,22,2015-01-08
191,7,23,49.56,5105,229.073,0.433884,-0.900969,23,2015-01-08
192,8,0,44.89,4354,253.818,-0.433884,-0.900969,0,2015-01-09
193,8,1,41.1,3947,300.567,-0.433884,-0.900969,1,2015-01-09
194,8,2,40.8,3725,336.313,-0.433884,-0.900969,2,2015-01-09
195,8,3,40.03,3581,368.181,-0.433884,-0.900969,3,2015-01-09
196,8,4,40.8,3566,383.059,-0.433884,-0.900969,4,2015-01-09
197,8,5,46.21,3723,363.272,-0.433884,-0.900969,5,2015-01-09
198,8,6,52.04,4480,309.673,-0.433884,-0.900969,6,2015-01-09
199,8,7,66.4,5429,229.442,-0.433884,-0.900969,7,2015-01-09
200,8,8,78.89,5996,134.921,-0.433884,-0.900969,8,2015-01-09
201,8,9,71.94,6472,89.511,-0.433884,-0.900969,9,2015-01-09
202,8,10,65.394986,6798,63.604,-0.433884,-0.900969,10,2015-01-09
203,8,11,63.98,6645,43.725,-0.433884,-0.900969,11,2015-01-09
204,8,12,52.44,6569,25.178,-0.433884,-0.900969,12,2015-01-09
205,8,13,51.05,6406,34.742,-0.433884,-0.900969,13,2015-01-09
206,8,14,54.45,6517,42.989,-0.433884,-0.900969,14,2015-01-09
207,8,15,58.0,6581,82.675,-0.433884,-0.900969,15,2015-01-09
208,8,16,61.0,6848,144.038,-0.433884,-0.900969,16,2015-01-09
209,8,17,77.9,7775,242.787,-0.433884,-0.900969,17,2015-01-09
210,8,18,74.99,7738,358.748,-0.433884,-0.900969,18,2015-01-09
211,8,19,65.5,7650,455.18,-0.433884,-0.900969,19,2015-01-09
212,8,20,60.99,7023,512.161,-0.433884,-0.900969,20,2015-01-09
213,8,21,58.21,6449,557.349,-0.433884,-0.900969,21,2015-01-09
214,8,22,48.8,5784,575.768,-0.433884,-0.900969,22,2015-01-09
215,8,23,44.96,5031,582.608,-0.433884,-0.900969,23,2015-01-09
216,9,0,42.49,4448,709.917,-0.974928,-0.222521,0,2015-01-10
217,9,1,38.797225,4019,727.927,-0.974928,-0.222521,1,2015-01-10
218,9,2,34.51,3799,729.644,-0.974928,-0.222521,2,2015-01-10
219,9,3,33.35,3647,723.715,-0.974928,-0.222521,3,2015-01-10
220,9,4,32.68,3627,708.851,-0.974928,-0.222521,4,2015-01-10
221,9,5,34.51,3795,685.965,-0.974928,-0.222521,5,2015-01-10
222,9,6,42.99,4307,653.187,-0.974928,-0.222521,6,2015-01-10
223,9,7,49.11,4955,607.544,-0.974928,-0.222521,7,2015-01-10
224,9,8,50.16,5505,553.813,-0.974928,-0.222521,8,2015-01-10
225,9,9,49.28,6141,491.318,-0.974928,-0.222521,9,2015-01-10
226,9,10,47.01,6053,438.106,-0.974928,-0.222521,10,2015-01-10
227,9,11,44.49,5782,393.136,-0.974928,-0.222521,11,2015-01-10
228,9,12,40.78,6101,350.471,-0.974928,-0.222521,12,2015-01-10
229,9,13,38.0,5907,317.886,-0.974928,-0.222521,13,2015-01-10
230,9,14,39.46,5903,296.009,-0.974928,-0.222521,14,2015-01-10
231,9,15,45.0,5986,280.713,-0.974928,-0.222521,15,2015-01-10
232,9,16,52.0,6101,283.382,-0.974928,-0.222521,16,2015-01-10
233,9,17,75.9,6792,318.646,-0.974928,-0.222521,17,2015-01-10
234,9,18,79.0,6938,374.341,-0.974928,-0.222521,18,2015-01-10
235,9,19,74.99,6986,434.742,-0.974928,-0.222521,19,2015-01-10
236,9,20,66.4,6547,506.353,-0.974928,-0.222521,20,2015-01-10
237,9,21,53.69,5998,577.341,-0.974928,-0.222521,21,2015-01-10
238,9,22,47.11,5508,646.065,-0.974928,-0.222521,22,2015-01-10
239,9,23,40.83,4995,695.667,-0.974928,-0.222521,23,2015-01-10
240,10,0,39.24,4150,722.236,-0.781831,0.62349,0,2015-01-11
241,10,1,34.45,3719,728.804,-0.781831,0.62349,1,2015-01-11
242,10,2,27.74,3509,720.029,-0.781831,0.62349,2,2015-01-11
243,10,3,20.0,3384,721.21,-0.781831,0.62349,3,2015-01-11
244,10,4,20.0,3350,740.592,-0.781831,0.62349,4,2015-01-11
245,10,5,25.01,3390,776.1,-0.781831,0.62349,5,2015-01-11
246,10,6,33.76,3573,799.264,-0.781831,0.62349,6,2015-01-11
247,10,7,37.27,3742,829.571,-0.781831,0.62349,7,2015-01-11
248,10,8,38.78,4149,843.191,-0.781831,0.62349,8,2015-01-11
249,10,9,40.01,4808,855.792,-0.781831,0.62349,9,2015-01-11
250,10,10,37.0,5342,872.136,-0.781831,0.62349,10,2015-01-11
251,10,11,34.51,5548,885.517,-0.781831,0.62349,11,2015-01-11
252,10,12,33.76,5585,895.791,-0.781831,0.62349,12,2015-01-11
253,10,13,28.0,5254,899.522,-0.781831,0.62349,13,2015-01-11
254,10,14,30.2,5108,896.565,-0.781831,0.62349,14,2015-01-11
255,10,15,35.51,5044,868.218,-0.781831,0.62349,15,2015-01-11
256,10,16,44.53,4993,786.058,-0.781831,0.62349,16,2015-01-11
257,10,17,53.48,5457,682.455,-0.781831,0.62349,17,2015-01-11
258,10,18,55.0,5693,523.228,-0.781831,0.62349,18,2015-01-11
259,10,19,58.71,5848,417.505,-0.781831,0.62349,19,2015-01-11
260,10,20,55.6,5798,389.693,-0.781831,0.62349,20,2015-01-11
261,10,21,49.21,5394,479.238,-0.781831,0.62349,21,2015-01-11
262,10,22,45.01,4924,659.431,-0.781831,0.62349,22,2015-01-11
263,10,23,38.96,4278,812.166,-0.781831,0.62349,23,2015-01-11
264,11,0,33.78,3650,905.198,0.0,1.0,0,2015-01-12
265,11,1,28.3,3317,876.965,0.0,1.0,1,2015-01-12
266,11,2,22.08,3211,812.345,0.0,1.0,2,2015-01-12
267,11,3,19.8,3157,733.066,0.0,1.0,3,2015-01-12
268,11,4,25.0,3213,685.564,0.0,1.0,4,2015-01-12
269,11,5,33.62,3474,629.625,0.0,1.0,5,2015-01-12
270,11,6,48.07,4286,560.076,0.0,1.0,6,2015-01-12
271,11,7,55.23,5427,457.911,0.0,1.0,7,2015-01-12
272,11,8,65.0,6119,334.71,0.0,1.0,8,2015-01-12
273,11,9,61.28,6636,241.125,0.0,1.0,9,2015-01-12
274,11,10,54.28,6952,193.068,0.0,1.0,10,2015-01-12
275,11,11,53.36,7056,156.359,0.0,1.0,11,2015-01-12
276,11,12,47.88,6666,130.805,0.0,1.0,12,2015-01-12
277,11,13,48.36,6397,99.399,0.0,1.0,13,2015-01-12
278,11,14,52.69,6370,62.173,0.0,1.0,14,2015-01-12
279,11,15,57.35,6324,39.924,0.0,1.0,15,2015-01-12
280,11,16,61.91,6424,26.769,0.0,1.0,16,2015-01-12
281,11,17,77.99,7105,43.809,0.0,1.0,17,2015-01-12
282,11,18,83.0,7152,66.158,0.0,1.0,18,2015-01-12
283,11,19,76.13,7101,131.62,0.0,1.0,19,2015-01-12
284,11,20,69.99,6692,198.828,0.0,1.0,20,2015-01-12
285,11,21,60.99,6208,271.54,0.0,1.0,21,2015-01-12
286,11,22,53.69,5585,335.374,0.0,1.0,22,2015-01-12
287,11,23,45.74,4926,362.223,0.0,1.0,23,2015-01-12
288,12,0,44.2,4280,358.125,0.781831,0.62349,0,2015-01-13
289,12,1,41.53,3898,348.676,0.781831,0.62349,1,2015-01-13
290,12,2,40.78,3753,324.872,0.781831,0.62349,2,2015-01-13
291,12,3,40.288547,3683,313.427,0.781831,0.62349,3,2015-01-13
292,12,4,41.53,3693,296.419,0.781831,0.62349,4,2015-01-13
293,12,5,46.59,3903,268.181,0.781831,0.62349,5,2015-01-13
294,12,6,51.54,4603,245.058,0.781831,0.62349,6,2015-01-13
295,12,7,57.03,5549,221.292,0.781831,0.62349,7,2015-01-13
296,12,8,70.0,6261,199.754,0.781831,0.62349,8,2015-01-13
297,12,9,64.97,6806,175.901,0.781831,0.62349,9,2015-01-13
298,12,10,59.946946,7113,155.081,0.781831,0.62349,10,2015-01-13
299,12,11,55.39,7154,138.972,0.781831,0.62349,11,2015-01-13
300,12,12,49.44,6918,125.229,0.781831,0.62349,12,2015-01-13
301,12,13,49.04,6385,118.98,0.781831,0.62349,13,2015-01-13
302,12,14,53.157845,6294,114.72,0.781831,0.62349,14,2015-01-13
303,12,15,57.80613,6325,108.128,0.781831,0.62349,15,2015-01-13
304,12,16,66.73,6436,110.544,0.781831,0.62349,16,2015-01-13
305,12,17,78.41,7108,126.035,0.781831,0.62349,17,2015-01-13
306,12,18,81.11,7156,145.827,0.781831,0.62349,18,2015-01-13
307,12,19,74.0,7091,174.965,0.781831,0.62349,19,2015-01-13
308,12,20,68.99,6698,216.368,0.781831,0.62349,20,2015-01-13
309,12,21,60.99,6245,270.969,0.781831,0.62349,21,2015-01-13
310,12,22,53.13,5627,323.0,0.781831,0.62349,22,2015-01-13
311,12,23,48.47,4873,370.931,0.781831,0.62349,23,2015-01-13
312,13,0,42.78,4567,447.967,0.974928,-0.222521,0,2015-01-14
313,13,1,39.0,4135,469.626,0.974928,-0.222521,1,2015-01-14
314,13,2,38.0,3871,478.759,0.974928,-0.222521,2,2015-01-14
315,13,3,38.0,3764,476.292,0.974928,-0.222521,3,2015-01-14
316,13,4,40.21,3774,467.689,0.974928,-0.222521,4,2015-01-14
317,13,5,43.53,3982,446.744,0.974928,-0.222521,5,2015-01-14
318,13,6,47.92,4682,415.565,0.974928,-0.222521,6,2015-01-14
319,13,7,54.56,5529,399.173,0.974928,-0.222521,7,2015-01-14
320,13,8,64.42,6155,396.813,0.974928,-0.222521,8,2015-01-14
321,13,9,59.99,6581,397.627,0.974928,-0.222521,9,2015-01-14
322,13,10,54.87,6650,405.114,0.974928,-0.222521,10,2015-01-14
323,13,11,52.73,6478,413.106,0.974928,-0.222521,11,2015-01-14
324,13,12,48.12,6629,403.243,0.974928,-0.222521,12,2015-01-14
325,13,13,48.0,6283,401.049,0.974928,-0.222521,13,2015-01-14
326,13,14,50.37,6199,396.472,0.974928,-0.222521,14,2015-01-14
327,13,15,53.45,6054,385.836,0.974928,-0.222521,15,2015-01-14
328,13,16,57.04,6415,380.798,0.974928,-0.222521,16,2015-01-14
329,13,17,60.99,7246,392.616,0.974928,-0.222521,17,2015-01-14
330,13,18,61.91,7452,409.303,0.974928,-0.222521,18,2015-01-14
331,13,19,57.99,7388,421.579,0.974928,-0.222521,19,2015-01-14
332,13,20,51.75,7028,423.993,0.974928,-0.222521,20,2015-01-14
333,13,21,49.5,6490,416.564,0.974928,-0.222521,21,2015-01-14
334,13,22,49.608033,5784,386.106,0.974928,-0.222521,22,2015-01-14
335,13,23,44.21,5113,327.741,0.974928,-0.222521,23,2015-01-14
336,14,0,43.83,4214,304.387,0.433884,-0.900969,0,2015-01-15
337,14,1,41.0,3894,217.956,0.433884,-0.900969,1,2015-01-15
338,14,2,39.0,3614,169.786,0.433884,-0.900969,2,2015-01-15
339,14,3,39.0,3535,126.717,0.433884,-0.900969,3,2015-01-15
340,14,4,41.0,3629,94.077,0.433884,-0.900969,4,2015-01-15
341,14,5,45.53,3857,54.502,0.433884,-0.900969,5,2015-01-15
342,14,6,50.32,4623,40.282,0.433884,-0.900969,6,2015-01-15
343,14,7,58.83,5514,38.65,0.433884,-0.900969,7,2015-01-15
344,14,8,69.96,6084,53.635,0.433884,-0.900969,8,2015-01-15
345,14,9,66.73,6118,65.301,0.433884,-0.900969,9,2015-01-15
346,14,10,61.51,6063,111.13,0.433884,-0.900969,10,2015-01-15
347,14,11,56.72,5995,160.28,0.433884,-0.900969,11,2015-01-15
348,14,12,50.0,6005,219.747,0.433884,-0.900969,12,2015-01-15
349,14,13,49.95,5747,296.809,0.433884,-0.900969,13,2015-01-15
350,14,14,53.12,5567,374.277,0.433884,-0.900969,14,2015-01-15
351,14,15,54.27,5673,428.729,0.433884,-0.900969,15,2015-01-15
352,14,16,57.35,5968,451.747,0.433884,-0.900969,16,2015-01-15
353,14,17,63.99,6740,460.545,0.433884,-0.900969,17,2015-01-15
354,14,18,63.99,6954,468.736,0.433884,-0.900969,18,2015-01-15
355,14,19,60.77,6761,487.211,0.433884,-0.900969,19,2015-01-15
356,14,20,52.2,6484,501.822,0.433884,-0.900969,20,2015-01-15
357,14,21,50.66,5956,517.511,0.433884,-0.900969,21,2015-01-15
358,14,22,48.4,5294,527.531,0.433884,-0.900969,22,2015-01-15
359,14,23,43.79,4606,530.687,0.433884,-0.900969,23,2015-01-15
360,15,0,43.53,4293,447.691,-0.433884,-0.900969,0,2015-01-16
361,15,1,40.0,3872,422.735,-0.433884,-0.900969,1,2015-01-16
362,15,2,38.0,3683,398.228,-0.433884,-0.900969,2,2015-01-16
363,15,3,37.76,3597,379.413,-0.433884,-0.900969,3,2015-01-16
364,15,4,38.51,3618,365.391,-0.433884,-0.900969,4,2015-01-16
365,15,5,42.78,3835,352.972,-0.433884,-0.900969,5,2015-01-16
366,15,6,48.38,4611,337.346,-0.433884,-0.900969,6,2015-01-16
367,15,7,54.58,5556,314.263,-0.433884,-0.900969,7,2015-01-16
368,15,8,66.73,6070,286.491,-0.433884,-0.900969,8,2015-01-16
369,15,9,64.68,6297,265.903,-0.433884,-0.900969,9,2015-01-16
370,15,10,60.30561,6454,253.996,-0.433884,-0.900969,10,2015-01-16
371,15,11,59.22,6221,249.48,-0.433884,-0.900969,11,2015-01-16
372,15,12,49.78,6040,243.727,-0.433884,-0.900969,12,2015-01-16
373,15,13,49.5,5854,247.861,-0.433884,-0.900969,13,2015-01-16
374,15,14,54.054072,5921,262.204,-0.433884,-0.900969,14,2015-01-16
