IDX__global,IDX__step,IDX__sub_step,TARG__MGP_SICI,FUTU__D_SICI,FUTU__WIND_SICI,CONST__wd_sin,CONST__wd_cos,Hour,Date
81,3,9,65.15,2056.0,836.313,-0.781831,0.62349,9,2015-01-04
82,3,10,65.15,2309.0,855.393,-0.781831,0.62349,10,2015-01-04
83,3,11,65.92,2321.0,874.704,-0.781831,0.62349,11,2015-01-04
84,3,12,65.92,2508.0,886.491,-0.781831,0.62349,12,2015-01-04
85,3,13,65.92,2182.0,877.442,-0.781831,0.62349,13,2015-01-04
86,3,14,65.92,2052.0,852.387,-0.781831,0.62349,14,2015-01-04
87,3,15,65.92,2051.0,818.46,-0.781831,0.62349,15,2015-01-04
88,3,16,65.92,2207.0,799.907,-0.781831,0.62349,16,2015-01-04
89,3,17,66.1,2407.0,790.32,-0.781831,0.62349,17,2015-01-04
90,3,18,66.1,2410.0,776.038,-0.781831,0.62349,18,2015-01-04
91,3,19,66.1,2490.0,749.344,-0.781831,0.62349,19,2015-01-04
92,3,20,68.0,2502.0,714.835,-0.781831,0.62349,20,2015-01-04
93,3,21,66.1,2358.0,693.335,-0.781831,0.62349,21,2015-01-04
94,3,22,66.1,2222.0,717.405,-0.781831,0.62349,22,2015-01-04
95,3,23,65.92,1985.0,760.368,-0.781831,0.62349,23,2015-01-04
96,4,0,47.72,1762.0,604.355,0.0,1.0,0,2015-01-05
97,4,1,39.1,1579.0,617.952,0.0,1.0,1,2015-01-05
98,4,2,35.21,1461.0,626.856,0.0,1.0,2,2015-01-05
99,4,3,32.43,1404.0,637.065,0.0,1.0,3,2015-01-05
100,4,4,33.15,1397.0,636.449,0.0,1.0,4,2015-01-05
101,4,5,38.85,1458.0,608.968,0.0,1.0,5,2015-01-05
102,4,6,48.89,1614.0,587.798,0.0,1.0,6,2015-01-05
103,4,7,65.3,1822.0,570.995,0.0,1.0,7,2015-01-05
104,4,8,65.3,2135.0,568.8,0.0,1.0,8,2015-01-05
105,4,9,65.3,2336.0,599.352,0.0,1.0,9,2015-01-05
106,4,10,65.3,2395.0,690.235,0.0,1.0,10,2015-01-05
107,4,11,65.3,2375.0,767.696,0.0,1.0,11,2015-01-05
108,4,12,65.3,2468.0,818.756,0.0,1.0,12,2015-01-05
109,4,13,65.3,2473.0,841.916,0.0,1.0,13,2015-01-05
110,4,14,65.3,2535.0,838.481,0.0,1.0,14,2015-01-05
111,4,15,65.48,2567.0,818.342,0.0,1.0,15,2015-01-05
112,4,16,65.48,2616.0,789.05,0.0,1.0,16,2015-01-05
113,4,17,67.36,2934.0,753.514,0.0,1.0,17,2015-01-05
114,4,18,67.36,3055.0,723.831,0.0,1.0,18,2015-01-05
115,4,19,67.36,3097.0,692.774,0.0,1.0,19,2015-01-05
116,4,20,67.36,3017.0,646.037,0.0,1.0,20,2015-01-05
117,4,21,67.36,2811.0,599.877,0.0,1.0,21,2015-01-05
118,4,22,65.48,2556.0,567.734,0.0,1.0,22,2015-01-05
119,4,23,65.3,2246.0,503.708,0.0,1.0,23,2015-01-05
120,5,0,65.3,1849.0,562.489,0.781831,0.62349,0,2015-01-06
121,5,1,45.21,1677.0,563.675,0.781831,0.62349,1,2015-01-06
122,5,2,38.8,1536.0,581.808,0.781831,0.62349,2,2015-01-06
123,5,3,35.0,1456.0,604.175,0.781831,0.62349,3,2015-01-06
124,5,4,33.43,1456.0,632.972,0.781831,0.62349,4,2015-01-06
125,5,5,37.58,1480.0,651.948,0.781831,0.62349,5,2015-01-06
126,5,6,43.5,1568.0,651.521,0.781831,0.62349,6,2015-01-06
127,5,7,52.0,1637.0,657.985,0.781831,0.62349,7,2015-01-06
128,5,8,64.99,1871.0,666.963,0.781831,0.62349,8,2015-01-06
129,5,9,65.15,2167.0,690.031,0.781831,0.62349,9,2015-01-06
130,5,10,54.99,2294.0,704.264,0.781831,0.62349,10,2015-01-06
131,5,11,49.1,2310.0,724.31,0.781831,0.62349,11,2015-01-06
132,5,12,47.97,2297.0,736.568,0.781831,0.62349,12,2015-01-06
133,5,13,45.11,2193.0,690.743,0.781831,0.62349,13,2015-01-06
134,5,14,64.99,2119.0,598.209,0.781831,0.62349,14,2015-01-06
135,5,15,65.3,2110.0,478.0,0.781831,0.62349,15,2015-01-06
136,5,16,65.3,2071.0,387.805,0.781831,0.62349,16,2015-01-06
137,5,17,67.36,2492.0,319.35,0.781831,0.62349,17,2015-01-06
138,5,18,67.36,2595.0,271.772,0.781831,0.62349,18,2015-01-06
139,5,19,67.36,2647.0,245.556,0.781831,0.62349,19,2015-01-06
140,5,20,67.36,2660.0,237.437,0.781831,0.62349,20,2015-01-06
141,5,21,67.36,2557.0,223.384,0.781831,0.62349,21,2015-01-06
142,5,22,67.36,2388.0,209.768,0.781831,0.62349,22,2015-01-06
143,5,23,65.48,2123.0,175.628,0.781831,0.62349,23,2015-01-06
144,6,0,65.3,1753.0,138.195,0.974928,-0.222521,0,2015-01-07
145,6,1,65.3,1539.0,130.09,0.974928,-0.222521,1,2015-01-07
146,6,2,65.3,1419.0,125.495,0.974928,-0.222521,2,2015-01-07
147,6,3,65.3,1364.0,126.104,0.974928,-0.222521,3,2015-01-07
148,6,4,65.3,1366.0,114.722,0.974928,-0.222521,4,2015-01-07
149,6,5,65.3,1442.0,98.168,0.974928,-0.222521,5,2015-01-07
150,6,6,65.3,1691.0,76.663,0.974928,-0.222521,6,2015-01-07
151,6,7,67.36,2064.0,65.961,0.974928,-0.222521,7,2015-01-07
152,6,8,74.0,2335.0,51.307,0.974928,-0.222521,8,2015-01-07
153,6,9,67.36,2466.0,37.215,0.974928,-0.222521,9,2015-01-07
154,6,10,66.4,2497.0,21.688,0.974928,-0.222521,10,2015-01-07
155,6,11,65.48,2485.0,10.539,0.974928,-0.222521,11,2015-01-07
156,6,12,65.48,2588.0,5.982,0.974928,-0.222521,12,2015-01-07
157,6,13,65.48,2561.0,11.936,0.974928,-0.222521,13,2015-01-07
158,6,14,65.48,2675.0,31.078,0.974928,-0.222521,14,2015-01-07
159,6,15,67.36,2776.0,39.449,0.974928,-0.222521,15,2015-01-07
160,6,16,71.1,2816.0,34.143,0.974928,-0.222521,16,2015-01-07
161,6,17,81.38,3099.0,20.094,0.974928,-0.222521,17,2015-01-07
162,6,18,81.38,3232.0,11.297,0.974928,-0.222521,18,2015-01-07
163,6,19,81.52,3287.0,12.808,0.974928,-0.222521,19,2015-01-07
164,6,20,80.01,3205.0,25.361,0.974928,-0.222521,20,2015-01-07
165,6,21,80.01,3012.0,38.44,0.974928,-0.222521,21,2015-01-07
166,6,22,67.36,2703.0,27.505,0.974928,-0.222521,22,2015-01-07
167,6,23,65.48,2277.0,14.739,0.974928,-0.222521,23,2015-01-07
168,7,0,65.48,1767.0,91.408,0.433884,-0.900969,0,2015-01-08
169,7,1,65.3,1587.0,81.955,0.433884,-0.900969,1,2015-01-08
170,7,2,65.3,1525.0,71.472,0.433884,-0.900969,2,2015-01-08
171,7,3,65.3,1473.0,62.564,0.433884,-0.900969,3,2015-01-08
172,7,4,65.3,1528.0,55.318,0.433884,-0.900969,4,2015-01-08
173,7,5,65.3,1615.0,42.759,0.433884,-0.900969,5,2015-01-08
174,7,6,65.48,1903.0,32.551,0.433884,-0.900969,6,2015-01-08
175,7,7,67.36,2314.0,30.671,0.433884,-0.900969,7,2015-01-08
176,7,8,78.24,2576.0,27.95,0.433884,-0.900969,8,2015-01-08
177,7,9,76.0,2655.0,34.454,0.433884,-0.900969,9,2015-01-08
178,7,10,67.36,2532.0,58.626,0.433884,-0.900969,10,2015-01-08
179,7,11,67.36,2455.0,80.939,0.433884,-0.900969,11,2015-01-08
180,7,12,65.48,2413.0,112.473,0.433884,-0.900969,12,2015-01-08
181,7,13,65.48,2388.0,134.778,0.433884,-0.900969,13,2015-01-08
182,7,14,67.36,2601.0,140.829,0.433884,-0.900969,14,2015-01-08
183,7,15,67.36,2705.0,132.275,0.433884,-0.900969,15,2015-01-08
184,7,16,69.99,2757.0,115.954,0.433884,-0.900969,16,2015-01-08
185,7,17,81.52,2916.0,104.327,0.433884,-0.900969,17,2015-01-08
186,7,18,83.39,3013.0,103.306,0.433884,-0.900969,18,2015-01-08
187,7,19,83.39,3055.0,95.77,0.433884,-0.900969,19,2015-01-08
188,7,20,81.38,2930.0,104.179,0.433884,-0.900969,20,2015-01-08
189,7,21,80.01,2684.0,111.661,0.433884,-0.900969,21,2015-01-08
190,7,22,67.36,2428.0,133.683,0.433884,-0.900969,22,2015-01-08
191,7,23,65.48,2080.0,155.143,0.433884,-0.900969,23,2015-01-08
192,8,0,67.36,1659.0,130.932,-0.433884,-0.900969,0,2015-01-09
193,8,1,67.36,1477.0,147.798,-0.433884,-0.900969,1,2015-01-09
194,8,2,65.3,1383.0,164.711,-0.433884,-0.900969,2,2015-01-09
195,8,3,65.3,1355.0,179.202,-0.433884,-0.900969,3,2015-01-09
196,8,4,65.3,1363.0,201.66,-0.433884,-0.900969,4,2015-01-09
197,8,5,65.3,1424.0,227.851,-0.433884,-0.900969,5,2015-01-09
198,8,6,67.36,1673.0,242.91,-0.433884,-0.900969,6,2015-01-09
199,8,7,80.01,2008.0,223.729,-0.433884,-0.900969,7,2015-01-09
200,8,8,80.01,2230.0,195.392,-0.433884,-0.900969,8,2015-01-09
201,8,9,80.01,2315.0,180.211,-0.433884,-0.900969,9,2015-01-09
202,8,10,67.36,2255.0,196.123,-0.433884,-0.900969,10,2015-01-09
203,8,11,67.36,2160.0,223.194,-0.433884,-0.900969,11,2015-01-09
204,8,12,67.36,2146.0,264.368,-0.433884,-0.900969,12,2015-01-09
205,8,13,67.36,2082.0,288.826,-0.433884,-0.900969,13,2015-01-09
206,8,14,67.36,2263.0,294.313,-0.433884,-0.900969,14,2015-01-09
207,8,15,69.11,2324.0,285.588,-0.433884,-0.900969,15,2015-01-09
208,8,16,80.01,2297.0,293.233,-0.433884,-0.900969,16,2015-01-09
209,8,17,83.39,2630.0,312.072,-0.433884,-0.900969,17,2015-01-09
210,8,18,84.99,2725.0,346.136,-0.433884,-0.900969,18,2015-01-09
211,8,19,89.99,2747.0,394.53,-0.433884,-0.900969,19,2015-01-09
212,8,20,83.39,2615.0,426.413,-0.433884,-0.900969,20,2015-01-09
213,8,21,81.52,2433.0,460.266,-0.433884,-0.900969,21,2015-01-09
214,8,22,80.01,2188.0,496.297,-0.433884,-0.900969,22,2015-01-09
215,8,23,67.36,1853.0,529.897,-0.433884,-0.900969,23,2015-01-09
216,9,0,65.3,1782.0,558.762,-0.974928,-0.222521,0,2015-01-10
217,9,1,65.3,1606.0,570.072,-0.974928,-0.222521,1,2015-01-10
218,9,2,65.3,1500.0,562.373,-0.974928,-0.222521,2,2015-01-10
219,9,3,65.3,1444.0,557.103,-0.974928,-0.222521,3,2015-01-10
220,9,4,65.3,1448.0,559.514,-0.974928,-0.222521,4,2015-01-10
221,9,5,65.3,1527.0,560.985,-0.974928,-0.222521,5,2015-01-10
222,9,6,65.3,1675.0,557.841,-0.974928,-0.222521,6,2015-01-10
223,9,7,67.36,1938.0,551.519,-0.974928,-0.222521,7,2015-01-10
224,9,8,67.36,2191.0,548.337,-0.974928,-0.222521,8,2015-01-10
225,9,9,67.36,2409.0,551.214,-0.974928,-0.222521,9,2015-01-10
226,9,10,67.36,2306.0,558.483,-0.974928,-0.222521,10,2015-01-10
227,9,11,65.3,2200.0,556.326,-0.974928,-0.222521,11,2015-01-10
228,9,12,65.3,2200.0,549.295,-0.974928,-0.222521,12,2015-01-10
229,9,13,65.3,2139.0,518.52,-0.974928,-0.222521,13,2015-01-10
230,9,14,65.3,2110.0,471.282,-0.974928,-0.222521,14,2015-01-10
231,9,15,67.36,2210.0,408.295,-0.974928,-0.222521,15,2015-01-10
232,9,16,67.36,2297.0,378.497,-0.974928,-0.222521,16,2015-01-10
233,9,17,80.01,2653.0,339.445,-0.974928,-0.222521,17,2015-01-10
234,9,18,81.38,2784.0,297.977,-0.974928,-0.222521,18,2015-01-10
235,9,19,81.52,2850.0,260.91,-0.974928,-0.222521,19,2015-01-10
236,9,20,81.52,2765.0,221.593,-0.974928,-0.222521,20,2015-01-10
237,9,21,80.01,2540.0,195.886,-0.974928,-0.222521,21,2015-01-10
238,9,22,80.01,2345.0,174.337,-0.974928,-0.222521,22,2015-01-10
239,9,23,67.36,2143.0,178.867,-0.974928,-0.222521,23,2015-01-10
240,10,0,65.3,1725.0,212.154,-0.781831,0.62349,0,2015-01-11
241,10,1,65.3,1538.0,229.998,-0.781831,0.62349,1,2015-01-11
242,10,2,65.3,1420.0,254.021,-0.781831,0.62349,2,2015-01-11
243,10,3,35.99,1360.0,279.799,-0.781831,0.62349,3,2015-01-11
244,10,4,35.99,1339.0,299.752,-0.781831,0.62349,4,2015-01-11
245,10,5,35.63,1360.0,336.062,-0.781831,0.62349,5,2015-01-11
246,10,6,44.99,1445.0,362.436,-0.781831,0.62349,6,2015-01-11
247,10,7,65.3,1500.0,378.666,-0.781831,0.62349,7,2015-01-11
248,10,8,65.48,1743.0,397.351,-0.781831,0.62349,8,2015-01-11
249,10,9,65.48,1941.0,423.945,-0.781831,0.62349,9,2015-01-11
250,10,10,65.48,1954.0,437.43,-0.781831,0.62349,10,2015-01-11
251,10,11,65.48,2027.0,436.111,-0.781831,0.62349,11,2015-01-11
252,10,12,65.3,2112.0,447.474,-0.781831,0.62349,12,2015-01-11
253,10,13,65.3,1998.0,486.607,-0.781831,0.62349,13,2015-01-11
254,10,14,65.3,2015.0,514.07,-0.781831,0.62349,14,2015-01-11
255,10,15,65.48,2030.0,538.97,-0.781831,0.62349,15,2015-01-11
256,10,16,65.48,2072.0,563.442,-0.781831,0.62349,16,2015-01-11
257,10,17,67.36,2357.0,591.69,-0.781831,0.62349,17,2015-01-11
258,10,18,69.99,2404.0,614.463,-0.781831,0.62349,18,2015-01-11
259,10,19,67.36,2467.0,635.85,-0.781831,0.62349,19,2015-01-11
260,10,20,67.36,2497.0,656.294,-0.781831,0.62349,20,2015-01-11
261,10,21,67.36,2399.0,680.19,-0.781831,0.62349,21,2015-01-11
262,10,22,65.48,2189.0,715.405,-0.781831,0.62349,22,2015-01-11
263,10,23,65.3,1909.0,752.507,-0.781831,0.62349,23,2015-01-11
264,11,0,33.78,1605.0,915.268,0.0,1.0,0,2015-01-12
265,11,1,28.3,1441.0,974.04,0.0,1.0,1,2015-01-12
266,11,2,22.08,1367.0,987.352,0.0,1.0,2,2015-01-12
267,11,3,19.8,1340.0,984.644,0.0,1.0,3,2015-01-12
268,11,4,25.0,1347.0,979.736,0.0,1.0,4,2015-01-12
269,11,5,33.62,1432.0,959.899,0.0,1.0,5,2015-01-12
270,11,6,48.07,1692.0,909.507,0.0,1.0,6,2015-01-12
271,11,7,65.48,2009.0,794.135,0.0,1.0,7,2015-01-12
272,11,8,65.48,2255.0,666.361,0.0,1.0,8,2015-01-12
273,11,9,65.48,2336.0,574.128,0.0,1.0,9,2015-01-12
274,11,10,65.3,2172.0,516.408,0.0,1.0,10,2015-01-12
275,11,11,65.3,2185.0,478.449,0.0,1.0,11,2015-01-12
276,11,12,65.3,2211.0,441.896,0.0,1.0,12,2015-01-12
277,11,13,65.3,2158.0,413.699,0.0,1.0,13,2015-01-12
278,11,14,65.48,2217.0,377.96,0.0,1.0,14,2015-01-12
279,11,15,65.48,2309.0,338.148,0.0,1.0,15,2015-01-12
280,11,16,67.36,2388.0,296.485,0.0,1.0,16,2015-01-12
281,11,17,74.7,2665.0,264.037,0.0,1.0,17,2015-01-12
282,11,18,76.03,2762.0,232.654,0.0,1.0,18,2015-01-12
283,11,19,76.03,2857.0,207.148,0.0,1.0,19,2015-01-12
284,11,20,76.03,2805.0,189.999,0.0,1.0,20,2015-01-12
285,11,21,74.7,2595.0,197.794,0.0,1.0,21,2015-01-12
286,11,22,74.7,2332.0,194.84,0.0,1.0,22,2015-01-12
287,11,23,65.48,2031.0,213.805,0.0,1.0,23,2015-01-12
288,12,0,65.3,1674.0,152.225,0.781831,0.62349,0,2015-01-13
289,12,1,65.3,1514.0,154.123,0.781831,0.62349,1,2015-01-13
290,12,2,65.3,1431.0,148.891,0.781831,0.62349,2,2015-01-13
291,12,3,49.99,1391.0,151.45,0.781831,0.62349,3,2015-01-13
292,12,4,65.3,1397.0,152.109,0.781831,0.62349,4,2015-01-13
293,12,5,65.3,1473.0,139.823,0.781831,0.62349,5,2015-01-13
294,12,6,65.48,1720.0,139.027,0.781831,0.62349,6,2015-01-13
295,12,7,67.36,2034.0,132.98,0.781831,0.62349,7,2015-01-13
296,12,8,67.36,2283.0,120.603,0.781831,0.62349,8,2015-01-13
297,12,9,67.36,2379.0,94.79,0.781831,0.62349,9,2015-01-13
298,12,10,65.48,2219.0,92.128,0.781831,0.62349,10,2015-01-13
299,12,11,65.48,2295.0,90.099,0.781831,0.62349,11,2015-01-13
300,12,12,65.3,2405.0,95.309,0.781831,0.62349,12,2015-01-13
301,12,13,65.3,2287.0,62.567,0.781831,0.62349,13,2015-01-13
302,12,14,65.48,2352.0,44.245,0.781831,0.62349,14,2015-01-13
303,12,15,65.48,2444.0,43.823,0.781831,0.62349,15,2015-01-13
304,12,16,67.36,2530.0,55.408,0.781831,0.62349,16,2015-01-13
305,12,17,75.34,2763.0,97.297,0.781831,0.62349,17,2015-01-13
306,12,18,75.29,2830.0,107.531,0.781831,0.62349,18,2015-01-13
307,12,19,74.7,2920.0,106.579,0.781831,0.62349,19,2015-01-13
308,12,20,74.7,2840.0,115.182,0.781831,0.62349,20,2015-01-13
309,12,21,74.7,2618.0,138.46,0.781831,0.62349,21,2015-01-13
310,12,22,67.36,2350.0,146.294,0.781831,0.62349,22,2015-01-13
311,12,23,65.48,2010.0,134.026,0.781831,0.62349,23,2015-01-13
312,13,0,65.3,1740.0,183.025,0.974928,-0.222521,0,2015-01-14
313,13,1,65.3,1608.0,200.287,0.974928,-0.222521,1,2015-01-14
314,13,2,65.3,1515.0,198.386,0.974928,-0.222521,2,2015-01-14
315,13,3,44.99,1481.0,187.98,0.974928,-0.222521,3,2015-01-14
316,13,4,65.3,1472.0,167.824,0.974928,-0.222521,4,2015-01-14
317,13,5,65.3,1558.0,147.441,0.974928,-0.222521,5,2015-01-14
318,13,6,65.3,1758.0,119.843,0.974928,-0.222521,6,2015-01-14
319,13,7,67.36,2025.0,102.709,0.974928,-0.222521,7,2015-01-14
320,13,8,67.36,2149.0,96.635,0.974928,-0.222521,8,2015-01-14
321,13,9,67.36,2141.0,102.649,0.974928,-0.222521,9,2015-01-14
322,13,10,67.36,2105.0,118.801,0.974928,-0.222521,10,2015-01-14
323,13,11,65.48,2035.0,129.469,0.974928,-0.222521,11,2015-01-14
324,13,12,65.48,2057.0,138.603,0.974928,-0.222521,12,2015-01-14
325,13,13,65.48,2006.0,169.042,0.974928,-0.222521,13,2015-01-14
326,13,14,65.48,1985.0,190.177,0.974928,-0.222521,14,2015-01-14
327,13,15,67.36,2042.0,200.087,0.974928,-0.222521,15,2015-01-14
328,13,16,67.36,2197.0,208.988,0.974928,-0.222521,16,2015-01-14
329,13,17,74.7,2595.0,219.089,0.974928,-0.222521,17,2015-01-14
330,13,18,74.7,2762.0,237.707,0.974928,-0.222521,18,2015-01-14
331,13,19,76.03,2865.0,257.326,0.974928,-0.222521,19,2015-01-14
332,13,20,74.7,2837.0,275.591,0.974928,-0.222521,20,2015-01-14
333,13,21,67.36,2640.0,301.764,0.974928,-0.222521,21,2015-01-14
334,13,22,67.36,2385.0,329.829,0.974928,-0.222521,22,2015-01-14
335,13,23,65.3,2077.0,360.524,0.974928,-0.222521,23,2015-01-14
336,14,0,65.3,1680.0,400.649,0.433884,-0.900969,0,2015-01-15
337,14,1,65.3,1529.0,411.701,0.433884,-0.900969,1,2015-01-15
338,14,2,39.0,1430.0,416.98,0.433884,-0.900969,2,2015-01-15
339,14,3,39.0,1411.0,424.628,0.433884,-0.900969,3,2015-01-15
340,14,4,41.99,1417.0,423.248,0.433884,-0.900969,4,2015-01-15
341,14,5,65.3,1505.0,407.451,0.433884,-0.900969,5,2015-01-15
342,14,6,65.3,1748.0,369.167,0.433884,-0.900969,6,2015-01-15
343,14,7,67.36,2093.0,273.619,0.433884,-0.900969,7,2015-01-15
344,14,8,67.36,2289.0,185.401,0.433884,-0.900969,8,2015-01-15
345,14,9,67.36,2338.0,116.897,0.433884,-0.900969,9,2015-01-15
346,14,10,65.48,2194.0,87.104,0.433884,-0.900969,10,2015-01-15
347,14,11,65.48,2067.0,68.856,0.433884,-0.900969,11,2015-01-15
348,14,12,65.3,2054.0,61.13,0.433884,-0.900969,12,2015-01-15
349,14,13,65.3,2048.0,64.587,0.433884,-0.900969,13,2015-01-15
350,14,14,65.48,2274.0,76.385,0.433884,-0.900969,14,2015-01-15
351,14,15,65.48,2336.0,79.213,0.433884,-0.900969,15,2015-01-15
352,14,16,67.36,2367.0,86.505,0.433884,-0.900969,16,2015-01-15
353,14,17,67.36,2601.0,84.61,0.433884,-0.900969,17,2015-01-15
354,14,18,76.14,2727.0,105.898,0.433884,-0.900969,18,2015-01-15
355,14,19,76.14,2805.0,125.475,0.433884,-0.900969,19,2015-01-15
356,14,20,76.14,2737.0,148.851,0.433884,-0.900969,20,2015-01-15
