IDX__global,IDX__step,IDX__sub_step,TARG__MGP_CNOR,FUTU__D_CNOR,FUTU__WIND_CNOR,CONST__wd_sin,CONST__wd_cos,Hour,Date
80,3,8,50.0,2435.0,20.527,-0.781831,0.62349,8,2015-01-04
81,3,9,52.65,2714.0,17.792,-0.781831,0.62349,9,2015-01-04
82,3,10,51.15,2888.0,17.288,-0.781831,0.62349,10,2015-01-04
83,3,11,49.78,2966.0,18.898,-0.781831,0.62349,11,2015-01-04
84,3,12,45.66,3013.0,21.354,-0.781831,0.62349,12,2015-01-04
85,3,13,40.14,2753.0,24.368,-0.781831,0.62349,13,2015-01-04
86,3,14,39.1,2769.0,27.394,-0.781831,0.62349,14,2015-01-04
87,3,15,49.3,2854.0,29.086,-0.781831,0.62349,15,2015-01-04
88,3,16,53.79,3057.0,28.693,-0.781831,0.62349,16,2015-01-04
89,3,17,63.74,3491.0,26.971,-0.781831,0.62349,17,2015-01-04
90,3,18,61.99,3612.0,25.549,-0.781831,0.62349,18,2015-01-04
91,3,19,64.0,3683.0,25.209,-0.781831,0.62349,19,2015-01-04
92,3,20,64.0,3525.0,24.772,-0.781831,0.62349,20,2015-01-04
93,3,21,53.93,3326.0,24.69,-0.781831,0.62349,21,2015-01-04
94,3,22,49.1,3088.0,24.761,-0.781831,0.62349,22,2015-01-04
95,3,23,45.61,2852.0,24.923,-0.781831,0.62349,23,2015-01-04
96,4,0,47.72,2363.0,18.486,0.0,1.0,0,2015-01-05
97,4,1,39.1,2181.0,18.362,0.0,1.0,1,2015-01-05
98,4,2,35.21,2040.0,18.308,0.0,1.0,2,2015-01-05
99,4,3,32.43,1978.0,18.581,0.0,1.0,3,2015-01-05
100,4,4,33.15,1960.0,18.761,0.0,1.0,4,2015-01-05
101,4,5,38.85,2119.0,18.69,0.0,1.0,5,2015-01-05
102,4,6,48.89,2430.0,19.055,0.0,1.0,6,2015-01-05
103,4,7,60.03,2859.0,19.644,0.0,1.0,7,2015-01-05
104,4,8,63.98,3189.0,20.249,0.0,1.0,8,2015-01-05
105,4,9,64.5,3436.0,20.893,0.0,1.0,9,2015-01-05
106,4,10,55.49,3549.0,22.267,0.0,1.0,10,2015-01-05
107,4,11,53.5,3501.0,23.35,0.0,1.0,11,2015-01-05
108,4,12,51.0,3486.0,23.813,0.0,1.0,12,2015-01-05
109,4,13,50.39,3280.0,23.0,0.0,1.0,13,2015-01-05
110,4,14,54.45,3266.0,17.384,0.0,1.0,14,2015-01-05
111,4,15,64.0,3553.0,16.006,0.0,1.0,15,2015-01-05
112,4,16,64.25,3746.0,14.559,0.0,1.0,16,2015-01-05
113,4,17,68.64,4286.0,13.297,0.0,1.0,17,2015-01-05
114,4,18,67.0,4312.0,11.783,0.0,1.0,18,2015-01-05
115,4,19,65.26,4301.0,10.428,0.0,1.0,19,2015-01-05
116,4,20,64.0,3901.0,8.345,0.0,1.0,20,2015-01-05
117,4,21,58.0,3576.0,6.926,0.0,1.0,21,2015-01-05
118,4,22,52.1,3184.0,11.089,0.0,1.0,22,2015-01-05
119,4,23,51.0,2910.0,12.242,0.0,1.0,23,2015-01-05
120,5,0,49.78,2622.0,15.929,0.781831,0.62349,0,2015-01-06
121,5,1,45.21,2394.0,18.202,0.781831,0.62349,1,2015-01-06
122,5,2,38.8,2296.0,19.8,0.781831,0.62349,2,2015-01-06
123,5,3,35.0,2175.0,20.161,0.781831,0.62349,3,2015-01-06
124,5,4,33.43,2179.0,19.856,0.781831,0.62349,4,2015-01-06
125,5,5,37.58,2199.0,18.875,0.781831,0.62349,5,2015-01-06
126,5,6,43.5,2297.0,13.863,0.781831,0.62349,6,2015-01-06
127,5,7,52.0,2473.0,12.793,0.781831,0.62349,7,2015-01-06
128,5,8,52.0,2654.0,11.378,0.781831,0.62349,8,2015-01-06
129,5,9,51.04,2909.0,10.072,0.781831,0.62349,9,2015-01-06
130,5,10,50.28,3127.0,9.065,0.781831,0.62349,10,2015-01-06
131,5,11,49.1,3139.0,8.599,0.781831,0.62349,11,2015-01-06
132,5,12,47.97,3035.0,7.974,0.781831,0.62349,12,2015-01-06
133,5,13,45.11,2762.0,7.006,0.781831,0.62349,13,2015-01-06
134,5,14,45.44,2799.0,5.967,0.781831,0.62349,14,2015-01-06
135,5,15,52.49,2963.0,4.905,0.781831,0.62349,15,2015-01-06
136,5,16,57.89,3069.0,4.093,0.781831,0.62349,16,2015-01-06
137,5,17,64.0,3502.0,3.474,0.781831,0.62349,17,2015-01-06
138,5,18,65.85,3690.0,2.972,0.781831,0.62349,18,2015-01-06
139,5,19,67.1,3774.0,2.622,0.781831,0.62349,19,2015-01-06
140,5,20,67.0,3667.0,2.395,0.781831,0.62349,20,2015-01-06
141,5,21,65.0,3484.0,2.166,0.781831,0.62349,21,2015-01-06
142,5,22,60.678486,3226.0,1.902,0.781831,0.62349,22,2015-01-06
143,5,23,51.068946,2883.0,1.759,0.781831,0.62349,23,2015-01-06
144,6,0,49.92,2533.0,1.92,0.974928,-0.222521,0,2015-01-07
145,6,1,45.5,2295.0,2.211,0.974928,-0.222521,1,2015-01-07
146,6,2,45.0,2146.0,2.876,0.974928,-0.222521,2,2015-01-07
147,6,3,41.85,2121.0,3.628,0.974928,-0.222521,3,2015-01-07
148,6,4,41.85,2145.0,4.013,0.974928,-0.222521,4,2015-01-07
149,6,5,44.32,2303.0,4.267,0.974928,-0.222521,5,2015-01-07
150,6,6,51.96,2839.0,4.598,0.974928,-0.222521,6,2015-01-07
151,6,7,70.0,3605.0,4.808,0.974928,-0.222521,7,2015-01-07
152,6,8,74.0,4262.0,4.864,0.974928,-0.222521,8,2015-01-07
153,6,9,70.95,4581.0,5.001,0.974928,-0.222521,9,2015-01-07
154,6,10,66.4,4777.0,5.013,0.974928,-0.222521,10,2015-01-07
155,6,11,63.98,4788.0,5.415,0.974928,-0.222521,11,2015-01-07
156,6,12,54.99,4599.0,5.744,0.974928,-0.222521,12,2015-01-07
157,6,13,52.62,4308.0,5.75,0.974928,-0.222521,13,2015-01-07
158,6,14,64.342233,4510.0,5.552,0.974928,-0.222521,14,2015-01-07
159,6,15,65.0,4821.0,5.142,0.974928,-0.222521,15,2015-01-07
160,6,16,71.1,4973.0,4.996,0.974928,-0.222521,16,2015-01-07
161,6,17,95.0,5210.0,5.042,0.974928,-0.222521,17,2015-01-07
162,6,18,99.0,5014.0,5.086,0.974928,-0.222521,18,2015-01-07
163,6,19,95.66,4729.0,4.826,0.974928,-0.222521,19,2015-01-07
164,6,20,80.0,4226.0,4.298,0.974928,-0.222521,20,2015-01-07
165,6,21,75.64,3892.0,3.863,0.974928,-0.222521,21,2015-01-07
166,6,22,67.36,3407.0,3.637,0.974928,-0.222521,22,2015-01-07
167,6,23,60.51,3057.0,3.757,0.974928,-0.222521,23,2015-01-07
168,7,0,46.481837,2849.0,7.58,0.433884,-0.900969,0,2015-01-08
169,7,1,40.85,2655.0,7.715,0.433884,-0.900969,1,2015-01-08
170,7,2,40.03,2540.0,7.922,0.433884,-0.900969,2,2015-01-08
171,7,3,38.85,2627.0,7.811,0.433884,-0.900969,3,2015-01-08
172,7,4,39.1,2641.0,7.479,0.433884,-0.900969,4,2015-01-08
173,7,5,44.41,2765.0,7.15,0.433884,-0.900969,5,2015-01-08
174,7,6,60.0,3219.0,6.657,0.433884,-0.900969,6,2015-01-08
175,7,7,66.4,4121.0,5.661,0.433884,-0.900969,7,2015-01-08
176,7,8,78.24,4757.0,4.48,0.433884,-0.900969,8,2015-01-08
177,7,9,76.0,5248.0,3.735,0.433884,-0.900969,9,2015-01-08
178,7,10,71.35,5099.0,3.743,0.433884,-0.900969,10,2015-01-08
179,7,11,66.95,5084.0,4.332,0.433884,-0.900969,11,2015-01-08
180,7,12,57.75,4608.0,4.966,0.433884,-0.900969,12,2015-01-08
181,7,13,57.89,4483.0,5.633,0.433884,-0.900969,13,2015-01-08
182,7,14,65.15,4641.0,6.141,0.433884,-0.900969,14,2015-01-08
183,7,15,65.0,4831.0,6.596,0.433884,-0.900969,15,2015-01-08
184,7,16,69.99,4939.0,6.969,0.433884,-0.900969,16,2015-01-08
185,7,17,94.0,5095.0,7.077,0.433884,-0.900969,17,2015-01-08
186,7,18,94.0,5108.0,7.907,0.433884,-0.900969,18,2015-01-08
187,7,19,90.0,4868.0,8.397,0.433884,-0.900969,19,2015-01-08
188,7,20,78.8,4377.0,8.924,0.433884,-0.900969,20,2015-01-08
189,7,21,69.24,4042.0,9.543,0.433884,-0.900969,21,2015-01-08
190,7,22,60.99,3570.0,10.108,0.433884,-0.900969,22,2015-01-08
191,7,23,49.56,3164.0,11.046,0.433884,-0.900969,23,2015-01-08
192,8,0,44.89,2806.0,10.349,-0.433884,-0.900969,0,2015-01-09
193,8,1,41.1,2594.0,11.487,-0.433884,-0.900969,1,2015-01-09
194,8,2,40.8,2460.0,12.177,-0.433884,-0.900969,2,2015-01-09
195,8,3,40.03,2422.0,15.339,-0.433884,-0.900969,3,2015-01-09
196,8,4,40.8,2455.0,14.933,-0.433884,-0.900969,4,2015-01-09
197,8,5,46.21,2523.0,13.921,-0.433884,-0.900969,5,2015-01-09
198,8,6,52.04,3002.0,12.732,-0.433884,-0.900969,6,2015-01-09
199,8,7,66.4,3627.0,10.983,-0.433884,-0.900969,7,2015-01-09
200,8,8,78.89,4174.0,8.939,-0.433884,-0.900969,8,2015-01-09
201,8,9,71.94,4415.0,7.544,-0.433884,-0.900969,9,2015-01-09
202,8,10,65.394986,4390.0,6.85,-0.433884,-0.900969,10,2015-01-09
203,8,11,63.98,4347.0,6.186,-0.433884,-0.900969,11,2015-01-09
204,8,12,52.44,4164.0,5.537,-0.433884,-0.900969,12,2015-01-09
205,8,13,51.05,3999.0,5.321,-0.433884,-0.900969,13,2015-01-09
206,8,14,54.45,4111.0,7.756,-0.433884,-0.900969,14,2015-01-09
207,8,15,58.0,4216.0,9.277,-0.433884,-0.900969,15,2015-01-09
208,8,16,61.0,4434.0,11.233,-0.433884,-0.900969,16,2015-01-09
209,8,17,77.9,4992.0,13.885,-0.433884,-0.900969,17,2015-01-09
210,8,18,74.99,4961.0,16.793,-0.433884,-0.900969,18,2015-01-09
211,8,19,65.5,4666.0,19.299,-0.433884,-0.900969,19,2015-01-09
212,8,20,60.99,4115.0,21.049,-0.433884,-0.900969,20,2015-01-09
213,8,21,58.21,3809.0,22.875,-0.433884,-0.900969,21,2015-01-09
214,8,22,48.8,3437.0,24.86,-0.433884,-0.900969,22,2015-01-09
215,8,23,44.96,3063.0,26.179,-0.433884,-0.900969,23,2015-01-09
216,9,0,42.49,2634.0,26.591,-0.974928,-0.222521,0,2015-01-10
217,9,1,38.797225,2447.0,27.368,-0.974928,-0.222521,1,2015-01-10
218,9,2,34.51,2337.0,27.716,-0.974928,-0.222521,2,2015-01-10
219,9,3,33.35,2312.0,27.283,-0.974928,-0.222521,3,2015-01-10
220,9,4,32.68,2315.0,21.853,-0.974928,-0.222521,4,2015-01-10
221,9,5,34.51,2345.0,21.427,-0.974928,-0.222521,5,2015-01-10
222,9,6,42.99,2609.0,20.533,-0.974928,-0.222521,6,2015-01-10
223,9,7,49.11,3001.0,19.434,-0.974928,-0.222521,7,2015-01-10
224,9,8,50.16,3321.0,17.892,-0.974928,-0.222521,8,2015-01-10
225,9,9,49.28,3632.0,16.152,-0.974928,-0.222521,9,2015-01-10
226,9,10,47.01,3717.0,14.858,-0.974928,-0.222521,10,2015-01-10
227,9,11,44.49,3670.0,13.959,-0.974928,-0.222521,11,2015-01-10
228,9,12,40.78,3663.0,13.115,-0.974928,-0.222521,12,2015-01-10
229,9,13,38.0,3359.0,12.181,-0.974928,-0.222521,13,2015-01-10
230,9,14,39.46,3174.0,11.58,-0.974928,-0.222521,14,2015-01-10
231,9,15,45.0,3253.0,11.335,-0.974928,-0.222521,15,2015-01-10
232,9,16,52.0,3438.0,11.684,-0.974928,-0.222521,16,2015-01-10
233,9,17,75.9,3869.0,12.766,-0.974928,-0.222521,17,2015-01-10
234,9,18,79.0,4027.0,14.166,-0.974928,-0.222521,18,2015-01-10
235,9,19,74.99,4062.0,17.73,-0.974928,-0.222521,19,2015-01-10
236,9,20,66.4,3741.0,19.655,-0.974928,-0.222521,20,2015-01-10
237,9,21,53.69,3445.0,21.67,-0.974928,-0.222521,21,2015-01-10
238,9,22,47.11,3085.0,24.041,-0.974928,-0.222521,22,2015-01-10
239,9,23,40.83,2774.0,26.024,-0.974928,-0.222521,23,2015-01-10
240,10,0,39.24,2453.0,26.785,-0.781831,0.62349,0,2015-01-11
241,10,1,34.45,2251.0,27.23,-0.781831,0.62349,1,2015-01-11
242,10,2,27.74,2125.0,27.704,-0.781831,0.62349,2,2015-01-11
243,10,3,20.0,2001.0,28.422,-0.781831,0.62349,3,2015-01-11
244,10,4,20.0,2045.0,29.27,-0.781831,0.62349,4,2015-01-11
245,10,5,25.01,2093.0,30.413,-0.781831,0.62349,5,2015-01-11
246,10,6,33.76,2213.0,31.393,-0.781831,0.62349,6,2015-01-11
247,10,7,37.27,2404.0,32.468,-0.781831,0.62349,7,2015-01-11
248,10,8,38.78,2548.0,32.201,-0.781831,0.62349,8,2015-01-11
249,10,9,40.01,2811.0,31.699,-0.781831,0.62349,9,2015-01-11
250,10,10,37.0,2952.0,31.34,-0.781831,0.62349,10,2015-01-11
251,10,11,34.51,3054.0,30.798,-0.781831,0.62349,11,2015-01-11
252,10,12,33.76,3181.0,30.86,-0.781831,0.62349,12,2015-01-11
253,10,13,28.0,2988.0,31.786,-0.781831,0.62349,13,2015-01-11
254,10,14,30.2,2681.0,32.457,-0.781831,0.62349,14,2015-01-11
255,10,15,35.51,2771.0,32.029,-0.781831,0.62349,15,2015-01-11
256,10,16,44.53,2862.0,29.582,-0.781831,0.62349,16,2015-01-11
257,10,17,53.48,3072.0,27.045,-0.781831,0.62349,17,2015-01-11
258,10,18,55.0,3327.0,24.949,-0.781831,0.62349,18,2015-01-11
259,10,19,58.71,3395.0,25.358,-0.781831,0.62349,19,2015-01-11
260,10,20,55.6,3249.0,25.974,-0.781831,0.62349,20,2015-01-11
261,10,21,49.21,3049.0,27.998,-0.781831,0.62349,21,2015-01-11
262,10,22,45.01,2813.0,29.336,-0.781831,0.62349,22,2015-01-11
263,10,23,38.96,2519.0,28.887,-0.781831,0.62349,23,2015-01-11
264,11,0,33.78,2229.0,36.182,0.0,1.0,0,2015-01-12
265,11,1,28.3,2098.0,33.252,0.0,1.0,1,2015-01-12
266,11,2,22.08,2006.0,29.062,0.0,1.0,2,2015-01-12
267,11,3,19.8,1937.0,24.867,0.0,1.0,3,2015-01-12
268,11,4,25.0,2055.0,22.822,0.0,1.0,4,2015-01-12
269,11,5,33.62,2308.0,21.186,0.0,1.0,5,2015-01-12
270,11,6,48.07,2836.0,18.964,0.0,1.0,6,2015-01-12
271,11,7,55.23,3751.0,15.079,0.0,1.0,7,2015-01-12
272,11,8,65.0,4360.0,9.13,0.0,1.0,8,2015-01-12
273,11,9,61.28,4553.0,6.932,0.0,1.0,9,2015-01-12
274,11,10,54.28,4544.0,5.53,0.0,1.0,10,2015-01-12
275,11,11,53.36,4493.0,3.992,0.0,1.0,11,2015-01-12
276,11,12,47.88,4349.0,3.759,0.0,1.0,12,2015-01-12
277,11,13,48.36,4254.0,4.063,0.0,1.0,13,2015-01-12
278,11,14,52.69,4393.0,4.342,0.0,1.0,14,2015-01-12
279,11,15,57.35,4562.0,4.339,0.0,1.0,15,2015-01-12
280,11,16,61.91,4781.0,1.884,0.0,1.0,16,2015-01-12
281,11,17,77.99,5059.0,2.422,0.0,1.0,17,2015-01-12
282,11,18,83.0,5022.0,8.005,0.0,1.0,18,2015-01-12
283,11,19,76.13,4772.0,10.095,0.0,1.0,19,2015-01-12
284,11,20,69.99,4434.0,12.076,0.0,1.0,20,2015-01-12
285,11,21,60.99,4060.0,14.4,0.0,1.0,21,2015-01-12
286,11,22,53.69,3571.0,16.31,0.0,1.0,22,2015-01-12
287,11,23,45.74,3170.0,17.519,0.0,1.0,23,2015-01-12
288,12,0,44.2,2702.0,19.443,0.781831,0.62349,0,2015-01-13
289,12,1,41.53,2533.0,18.947,0.781831,0.62349,1,2015-01-13
290,12,2,40.78,2421.0,18.086,0.781831,0.62349,2,2015-01-13
291,12,3,40.288547,2306.0,17.145,0.781831,0.62349,3,2015-01-13
292,12,4,41.53,2393.0,15.933,0.781831,0.62349,4,2015-01-13
293,12,5,46.59,2542.0,14.759,0.781831,0.62349,5,2015-01-13
294,12,6,51.54,3045.0,13.745,0.781831,0.62349,6,2015-01-13
295,12,7,57.03,3858.0,13.235,0.781831,0.62349,7,2015-01-13
296,12,8,70.0,4536.0,12.729,0.781831,0.62349,8,2015-01-13
297,12,9,64.97,4715.0,11.527,0.781831,0.62349,9,2015-01-13
298,12,10,59.946946,4639.0,10.343,0.781831,0.62349,10,2015-01-13
299,12,11,55.39,4674.0,9.201,0.781831,0.62349,11,2015-01-13
300,12,12,49.44,4526.0,8.758,0.781831,0.62349,12,2015-01-13
301,12,13,49.04,4289.0,9.407,0.781831,0.62349,13,2015-01-13
302,12,14,53.157845,4419.0,10.402,0.781831,0.62349,14,2015-01-13
303,12,15,57.80613,4631.0,11.183,0.781831,0.62349,15,2015-01-13
304,12,16,66.73,4800.0,12.335,0.781831,0.62349,16,2015-01-13
305,12,17,78.41,5121.0,13.478,0.781831,0.62349,17,2015-01-13
306,12,18,81.11,5120.0,14.55,0.781831,0.62349,18,2015-01-13
307,12,19,74.0,4852.0,15.965,0.781831,0.62349,19,2015-01-13
308,12,20,68.99,4477.0,17.386,0.781831,0.62349,20,2015-01-13
309,12,21,60.99,4083.0,18.765,0.781831,0.62349,21,2015-01-13
310,12,22,53.13,3584.0,19.918,0.781831,0.62349,22,2015-01-13
311,12,23,48.47,3132.0,20.775,0.781831,0.62349,23,2015-01-13
312,13,0,42.78,2801.0,21.369,0.974928,-0.222521,0,2015-01-14
313,13,1,39.0,2618.0,21.67,0.974928,-0.222521,1,2015-01-14
314,13,2,38.0,2475.0,21.333,0.974928,-0.222521,2,2015-01-14
315,13,3,38.0,2415.0,20.715,0.974928,-0.222521,3,2015-01-14
316,13,4,40.21,2438.0,20.146,0.974928,-0.222521,4,2015-01-14
317,13,5,43.53,2554.0,19.504,0.974928,-0.222521,5,2015-01-14
318,13,6,47.92,3200.0,18.48,0.974928,-0.222521,6,2015-01-14
319,13,7,54.56,3928.0,17.025,0.974928,-0.222521,7,2015-01-14
320,13,8,64.42,4485.0,15.51,0.974928,-0.222521,8,2015-01-14
321,13,9,59.99,4659.0,14.118,0.974928,-0.222521,9,2015-01-14
322,13,10,54.87,4638.0,13.96,0.974928,-0.222521,10,2015-01-14
323,13,11,52.73,4747.0,14.514,0.974928,-0.222521,11,2015-01-14
324,13,12,48.12,4371.0,14.921,0.974928,-0.222521,12,2015-01-14
325,13,13,48.0,4043.0,15.485,0.974928,-0.222521,13,2015-01-14
326,13,14,50.37,4147.0,16.072,0.974928,-0.222521,14,2015-01-14
327,13,15,53.45,4368.0,16.531,0.974928,-0.222521,15,2015-01-14
328,13,16,57.04,4560.0,16.721,0.974928,-0.222521,16,2015-01-14
329,13,17,60.99,4921.0,17.251,0.974928,-0.222521,17,2015-01-14
330,13,18,61.91,4886.0,17.878,0.974928,-0.222521,18,2015-01-14
331,13,19,57.99,4709.0,17.053,0.974928,-0.222521,19,2015-01-14
332,13,20,51.75,4312.0,15.46,0.974928,-0.222521,20,2015-01-14
333,13,21,49.5,3933.0,13.953,0.974928,-0.222521,21,2015-01-14
334,13,22,49.608033,3468.0,12.61,0.974928,-0.222521,22,2015-01-14
335,13,23,44.21,3075.0,8.496,0.974928,-0.222521,23,2015-01-14
336,14,0,43.83,3053.0,8.278,0.433884,-0.900969,0,2015-01-15
337,14,1,41.0,2852.0,6.954,0.433884,-0.900969,1,2015-01-15
338,14,2,39.0,2721.0,5.652,0.433884,-0.900969,2,2015-01-15
339,14,3,39.0,2678.0,4.784,0.433884,-0.900969,3,2015-01-15
340,14,4,41.0,2626.0,8.485,0.433884,-0.900969,4,2015-01-15
341,14,5,45.53,2832.0,8.133,0.433884,-0.900969,5,2015-01-15
342,14,6,50.32,3450.0,8.532,0.433884,-0.900969,6,2015-01-15
343,14,7,58.83,4205.0,9.383,0.433884,-0.900969,7,2015-01-15
344,14,8,69.96,4717.0,10.088,0.433884,-0.900969,8,2015-01-15
345,14,9,66.73,4694.0,10.913,0.433884,-0.900969,9,2015-01-15
346,14,10,61.51,4631.0,12.654,0.433884,-0.900969,10,2015-01-15
347,14,11,56.72,4612.0,14.315,0.433884,-0.900969,11,2015-01-15
348,14,12,50.0,4353.0,15.981,0.433884,-0.900969,12,2015-01-15
349,14,13,49.95,4159.0,18.174,0.433884,-0.900969,13,2015-01-15
350,14,14,53.12,4124.0,20.421,0.433884,-0.900969,14,2015-01-15
351,14,15,54.27,4312.0,22.244,0.433884,-0.900969,15,2015-01-15
352,14,16,57.35,4539.0,23.594,0.433884,-0.900969,16,2015-01-15
353,14,17,63.99,4926.0,24.737,0.433884,-0.900969,17,2015-01-15
354,14,18,63.99,4943.0,25.886,0.433884,-0.900969,18,2015-01-15
355,14,19,60.77,4737.0,28.289,0.433884,-0.900969,19,2015-01-15
