IDX__global,IDX__step,IDX__sub_step,TARG__DE_price,FUTU__Load_DA_Forecast,F_L-1__Renewables_DA_Forecast,CONST_L-2__TTF_Gas,CONST__wd_sin,CONST__wd_cos,Hour,Date
38,1,14,14.7,53314.595,27143.75725,20.448,-0.433884,-0.900969,14,2015-01-02
39,1,15,14.66,53275.145,26116.43425,20.448,-0.433884,-0.900969,15,2015-01-02
40,1,16,16.09,54490.8375,25592.71775,20.448,-0.433884,-0.900969,16,2015-01-02
41,1,17,25.1,57232.7625,25468.85125,20.448,-0.433884,-0.900969,17,2015-01-02
42,1,18,25.06,57267.675,25336.5925,20.448,-0.433884,-0.900969,18,2015-01-02
43,1,19,19.08,55583.5975,25207.949,20.448,-0.433884,-0.900969,19,2015-01-02
44,1,20,14.26,51783.64,25014.415,20.448,-0.433884,-0.900969,20,2015-01-02
45,1,21,12.22,47797.61,24737.3175,20.448,-0.433884,-0.900969,21,2015-01-02
46,1,22,10.4,45972.475,24483.315,20.448,-0.433884,-0.900969,22,2015-01-02
47,1,23,-0.33,44474.05,24226.785,20.448,-0.433884,-0.900969,23,2015-01-02
48,2,0,-0.08,42341.3425,23948.22325,20.448,-0.974928,-0.222521,0,2015-01-03
49,2,1,-0.07,40962.74,23957.47175,20.448,-0.974928,-0.222521,1,2015-01-03
50,2,2,-5.03,39777.215,23250.4165,20.448,-0.974928,-0.222521,2,2015-01-03
51,2,3,0.01,39824.5425,22506.20225,20.448,-0.974928,-0.222521,3,2015-01-03
52,2,4,-0.04,40220.6575,21880.461,20.448,-0.974928,-0.222521,4,2015-01-03
53,2,5,0.03,40012.6125,21642.18625,20.448,-0.974928,-0.222521,5,2015-01-03
54,2,6,-8.67,40212.905,21620.013,20.448,-0.974928,-0.222521,6,2015-01-03
55,2,7,4.46,42881.45,21636.32725,20.448,-0.974928,-0.222521,7,2015-01-03
56,2,8,9.9,46555.99,21686.1895,20.448,-0.974928,-0.222521,8,2015-01-03
57,2,9,14.29,49657.58,22268.44875,20.448,-0.974928,-0.222521,9,2015-01-03
58,2,10,16.73,51738.37,22955.78875,20.448,-0.974928,-0.222521,10,2015-01-03
59,2,11,22.31,52963.065,23007.24,20.448,-0.974928,-0.222521,11,2015-01-03
60,2,12,23.03,52562.6175,22275.1775,20.448,-0.974928,-0.222521,12,2015-01-03
61,2,13,22.4,51453.555,20913.764,20.448,-0.974928,-0.222521,13,2015-01-03
62,2,14,27.07,50239.125,18586.307,20.448,-0.974928,-0.222521,14,2015-01-03
63,2,15,29.33,49500.0775,16285.6715,20.448,-0.974928,-0.222521,15,2015-01-03
64,2,16,33.85,50741.7375,14672.14675,20.448,-0.974928,-0.222521,16,2015-01-03
65,2,17,45.96,52568.9625,13375.907,20.448,-0.974928,-0.222521,17,2015-01-03
66,2,18,49.82,52952.685,12096.2355,20.448,-0.974928,-0.222521,18,2015-01-03
67,2,19,47.62,51891.1325,11548.08675,20.448,-0.974928,-0.222521,19,2015-01-03
68,2,20,35.98,49039.4525,11792.4425,20.448,-0.974928,-0.222521,20,2015-01-03
69,2,21,27.26,47277.4875,12719.2275,20.448,-0.974928,-0.222521,21,2015-01-03
70,2,22,27.7,46910.835,13937.925,20.448,-0.974928,-0.222521,22,2015-01-03
71,2,23,14.27,44334.9625,15281.9975,20.448,-0.974928,-0.222521,23,2015-01-03
72,3,0,9.32,41144.4975,17746.967249999998,20.448,-0.781831,0.62349,0,2015-01-04
73,3,1,0.02,38944.755,19467.868250000003,20.448,-0.781831,0.62349,1,2015-01-04
74,3,2,-0.04,37773.295,19349.56025,20.448,-0.781831,0.62349,2,2015-01-04
75,3,3,0.01,37970.81,19245.87,20.448,-0.781831,0.62349,3,2015-01-04
76,3,4,0.0,37962.74,19165.1715,20.448,-0.781831,0.62349,4,2015-01-04
77,3,5,-0.01,37355.75,18906.57225,20.448,-0.781831,0.62349,5,2015-01-04
78,3,6,-3.18,35587.8375,18489.55475,20.448,-0.781831,0.62349,6,2015-01-04
79,3,7,-0.05,36483.3875,18062.485,20.448,-0.781831,0.62349,7,2015-01-04
80,3,8,0.05,39515.045,17781.13375,20.448,-0.781831,0.62349,8,2015-01-04
81,3,9,9.62,43306.275,18486.73125,20.448,-0.781831,0.62349,9,2015-01-04
82,3,10,11.54,45522.55,19906.74525,20.448,-0.781831,0.62349,10,2015-01-04
83,3,11,14.68,47889.2,20942.8885,20.448,-0.781831,0.62349,11,2015-01-04
84,3,12,14.31,48273.43,21133.6315,20.448,-0.781831,0.62349,12,2015-01-04
85,3,13,11.18,46650.7275,20442.26275,20.448,-0.781831,0.62349,13,2015-01-04
86,3,14,12.01,45203.1825,18875.49425,20.448,-0.781831,0.62349,14,2015-01-04
87,3,15,14.36,44877.99,16807.7,20.448,-0.781831,0.62349,15,2015-01-04
88,3,16,17.55,46080.8575,15600.39725,20.448,-0.781831,0.62349,16,2015-01-04
89,3,17,28.94,49826.005,15033.92575,20.448,-0.781831,0.62349,17,2015-01-04
90,3,18,29.59,51442.795,14570.64825,20.448,-0.781831,0.62349,18,2015-01-04
91,3,19,29.42,50505.7275,13886.17975,20.448,-0.781831,0.62349,19,2015-01-04
92,3,20,28.92,47804.4025,13127.29175,20.448,-0.781831,0.62349,20,2015-01-04
93,3,21,28.66,46746.32,12411.107,20.448,-0.781831,0.62349,21,2015-01-04
94,3,22,29.74,46885.355,11885.52825,20.448,-0.781831,0.62349,22,2015-01-04
95,3,23,24.9,44659.6475,11467.79875,20.448,-0.781831,0.62349,23,2015-01-04
96,4,0,22.34,43176.1725,10565.66975,20.145,0.0,1.0,0,2015-01-05
97,4,1,17.93,41597.5825,10851.39375,20.145,0.0,1.0,1,2015-01-05
98,4,2,15.17,40421.5925,10981.54675,20.145,0.0,1.0,2,2015-01-05
99,4,3,16.38,40404.355,11159.80475,20.145,0.0,1.0,3,2015-01-05
100,4,4,17.38,41348.13,11371.4805,20.145,0.0,1.0,4,2015-01-05
101,4,5,16.38,43645.2575,11380.82975,20.145,0.0,1.0,5,2015-01-05
102,4,6,26.61,49070.495,11145.20775,20.145,0.0,1.0,6,2015-01-05
103,4,7,37.63,53972.1675,10712.0165,20.145,0.0,1.0,7,2015-01-05
104,4,8,39.09,56336.2875,10322.85125,20.145,0.0,1.0,8,2015-01-05
105,4,9,41.51,57556.195,11017.202249999998,20.145,0.0,1.0,9,2015-01-05
106,4,10,40.46,58952.32,12242.40425,20.145,0.0,1.0,10,2015-01-05
107,4,11,40.97,60158.62,13118.199,20.145,0.0,1.0,11,2015-01-05
108,4,12,40.72,60633.8175,13155.973,20.145,0.0,1.0,12,2015-01-05
109,4,13,41.92,59364.95,11841.901,20.145,0.0,1.0,13,2015-01-05
110,4,14,42.0,57531.0025,9469.45325,20.145,0.0,1.0,14,2015-01-05
111,4,15,43.1,58482.95,6829.25475,20.145,0.0,1.0,15,2015-01-05
112,4,16,46.7,58322.2225,4920.83475,20.145,0.0,1.0,16,2015-01-05
113,4,17,56.78,59898.165,4129.408,20.145,0.0,1.0,17,2015-01-05
114,4,18,58.84,60886.2425,3731.06425,20.145,0.0,1.0,18,2015-01-05
115,4,19,49.23,60314.0775,3433.13,20.145,0.0,1.0,19,2015-01-05
116,4,20,44.32,56841.95,3216.64075,20.145,0.0,1.0,20,2015-01-05
117,4,21,40.0,54007.215,2958.7685,20.145,0.0,1.0,21,2015-01-05
118,4,22,35.08,52061.025,2754.235,20.145,0.0,1.0,22,2015-01-05
119,4,23,30.03,47866.8425,2522.16,20.145,0.0,1.0,23,2015-01-05
120,5,0,30.02,45215.5325,2338.95325,19.538,0.781831,0.62349,0,2015-01-06
121,5,1,30.57,43977.99,2304.1945,19.538,0.781831,0.62349,1,2015-01-06
122,5,2,30.25,42823.335,2216.0370000000003,19.538,0.781831,0.62349,2,2015-01-06
123,5,3,30.29,42724.5175,2096.213,19.538,0.781831,0.62349,3,2015-01-06
124,5,4,30.63,43610.79,2014.1965,19.538,0.781831,0.62349,4,2015-01-06
125,5,5,29.64,45897.86,2083.28975,19.538,0.781831,0.62349,5,2015-01-06
126,5,6,29.67,50678.665,2308.56125,19.538,0.781831,0.62349,6,2015-01-06
127,5,7,38.82,55554.1575,2562.53125,19.538,0.781831,0.62349,7,2015-01-06
128,5,8,40.76,58355.2175,3082.5155,19.538,0.781831,0.62349,8,2015-01-06
129,5,9,40.02,59792.1475,5322.41725,19.538,0.781831,0.62349,9,2015-01-06
130,5,10,33.99,61041.03,8165.803749999999,19.538,0.781831,0.62349,10,2015-01-06
131,5,11,31.22,62314.48,10133.9045,19.538,0.781831,0.62349,11,2015-01-06
132,5,12,30.06,62185.6425,10642.90875,19.538,0.781831,0.62349,12,2015-01-06
133,5,13,29.99,61094.78,9653.538,19.538,0.781831,0.62349,13,2015-01-06
134,5,14,30.73,58461.555,7943.756499999999,19.538,0.781831,0.62349,14,2015-01-06
135,5,15,37.38,59445.0675,6123.44025,19.538,0.781831,0.62349,15,2015-01-06
136,5,16,40.32,59201.9575,5347.69325,19.538,0.781831,0.62349,16,2015-01-06
137,5,17,45.96,60849.45,5822.87575,19.538,0.781831,0.62349,17,2015-01-06
138,5,18,45.71,61763.4825,6479.50125,19.538,0.781831,0.62349,18,2015-01-06
139,5,19,39.57,61419.655,6824.186,19.538,0.781831,0.62349,19,2015-01-06
140,5,20,32.92,58256.3575,6909.04,19.538,0.781831,0.62349,20,2015-01-06
141,5,21,29.15,55363.91,7002.9825,19.538,0.781831,0.62349,21,2015-01-06
142,5,22,28.46,53445.9675,6977.8275,19.538,0.781831,0.62349,22,2015-01-06
143,5,23,26.97,49225.2,6821.2225,19.538,0.781831,0.62349,23,2015-01-06
144,6,0,24.97,45967.655,7932.239,19.594,0.974928,-0.222521,0,2015-01-07
145,6,1,24.65,43795.7625,8809.45475,19.594,0.974928,-0.222521,1,2015-01-07
146,6,2,24.68,42782.3625,8540.5885,19.594,0.974928,-0.222521,2,2015-01-07
147,6,3,25.06,42936.9525,8404.64925,19.594,0.974928,-0.222521,3,2015-01-07
148,6,4,26.1,44664.5075,8319.88775,19.594,0.974928,-0.222521,4,2015-01-07
149,6,5,26.95,47122.435,8025.30625,19.594,0.974928,-0.222521,5,2015-01-07
150,6,6,31.43,52973.155,7768.534,19.594,0.974928,-0.222521,6,2015-01-07
151,6,7,45.98,58620.3725,7506.73725,19.594,0.974928,-0.222521,7,2015-01-07
152,6,8,47.91,60736.0325,7240.11425,19.594,0.974928,-0.222521,8,2015-01-07
153,6,9,48.91,61358.9525,7597.486,19.594,0.974928,-0.222521,9,2015-01-07
154,6,10,50.0,62353.8875,8503.8475,19.594,0.974928,-0.222521,10,2015-01-07
155,6,11,51.22,63591.355,9400.61975,19.594,0.974928,-0.222521,11,2015-01-07
156,6,12,50.15,63253.7275,9874.66275,19.594,0.974928,-0.222521,12,2015-01-07
157,6,13,51.46,62404.6375,9646.8435,19.594,0.974928,-0.222521,13,2015-01-07
158,6,14,50.88,61971.83,8881.1675,19.594,0.974928,-0.222521,14,2015-01-07
159,6,15,48.0,61780.445,7880.65625,19.594,0.974928,-0.222521,15,2015-01-07
160,6,16,47.14,62058.9675,7414.3955,19.594,0.974928,-0.222521,16,2015-01-07
161,6,17,51.07,64334.3975,7874.905,19.594,0.974928,-0.222521,17,2015-01-07
162,6,18,47.42,64332.605,8616.72725,19.594,0.974928,-0.222521,18,2015-01-07
163,6,19,44.83,62484.49,9413.83575,19.594,0.974928,-0.222521,19,2015-01-07
164,6,20,33.86,58404.6975,10300.785,19.594,0.974928,-0.222521,20,2015-01-07
165,6,21,27.42,55377.66,11268.05,19.594,0.974928,-0.222521,21,2015-01-07
166,6,22,27.02,53229.4475,12197.1425,19.594,0.974928,-0.222521,22,2015-01-07
167,6,23,22.11,49272.3775,13146.9475,19.594,0.974928,-0.222521,23,2015-01-07
168,7,0,21.92,46999.7925,14908.9195,19.591,0.433884,-0.900969,0,2015-01-08
169,7,1,19.35,44923.8975,15933.56275,19.591,0.433884,-0.900969,1,2015-01-08
170,7,2,16.11,43815.705,16653.13875,19.591,0.433884,-0.900969,2,2015-01-08
171,7,3,14.93,43962.285,17232.224,19.591,0.433884,-0.900969,3,2015-01-08
172,7,4,15.0,44861.3475,17782.008,19.591,0.433884,-0.900969,4,2015-01-08
173,7,5,19.04,47170.7275,18283.819,19.591,0.433884,-0.900969,5,2015-01-08
174,7,6,26.17,51903.4725,18823.5005,19.591,0.433884,-0.900969,6,2015-01-08
175,7,7,38.34,58271.9475,19178.909,19.591,0.433884,-0.900969,7,2015-01-08
176,7,8,37.7,60746.45,19521.735,19.591,0.433884,-0.900969,8,2015-01-08
177,7,9,32.99,61456.2525,20044.5395,19.591,0.433884,-0.900969,9,2015-01-08
178,7,10,31.95,62295.6075,20482.45025,19.591,0.433884,-0.900969,10,2015-01-08
179,7,11,33.59,63733.29,20729.23275,19.591,0.433884,-0.900969,11,2015-01-08
180,7,12,34.37,63357.7575,20228.56525,19.591,0.433884,-0.900969,12,2015-01-08
181,7,13,35.08,61195.3125,18889.027,19.591,0.433884,-0.900969,13,2015-01-08
182,7,14,34.45,60290.515,17642.644,19.591,0.433884,-0.900969,14,2015-01-08
183,7,15,38.12,60529.2925,16711.737500000003,19.591,0.433884,-0.900969,15,2015-01-08
184,7,16,32.47,61036.44,16166.08225,19.591,0.433884,-0.900969,16,2015-01-08
185,7,17,36.49,63836.4,16380.70125,19.591,0.433884,-0.900969,17,2015-01-08
186,7,18,31.82,64304.555,17228.6175,19.591,0.433884,-0.900969,18,2015-01-08
187,7,19,32.93,62821.1425,18028.7055,19.591,0.433884,-0.900969,19,2015-01-08
188,7,20,29.44,58974.7825,18506.8975,19.591,0.433884,-0.900969,20,2015-01-08
189,7,21,28.62,55575.9325,19140.875,19.591,0.433884,-0.900969,21,2015-01-08
190,7,22,26.71,53694.34,19771.9275,19.591,0.433884,-0.900969,22,2015-01-08
191,7,23,15.93,49908.0375,20109.255,19.591,0.433884,-0.900969,23,2015-01-08
192,8,0,11.55,46623.31,20834.36775,19.56,-0.433884,-0.900969,0,2015-01-09
193,8,1,13.47,45326.8525,21486.78525,19.56,-0.433884,-0.900969,1,2015-01-09
194,8,2,11.23,44308.295,21873.849,19.56,-0.433884,-0.900969,2,2015-01-09
195,8,3,9.37,44619.375,22707.344,19.56,-0.433884,-0.900969,3,2015-01-09
196,8,4,10.33,46196.0225,24106.47125,19.56,-0.433884,-0.900969,4,2015-01-09
197,8,5,10.57,48376.05,25670.4225,19.56,-0.433884,-0.900969,5,2015-01-09
198,8,6,20.08,53387.8325,27086.1445,19.56,-0.433884,-0.900969,6,2015-01-09
199,8,7,34.24,60045.42,28435.892,19.56,-0.433884,-0.900969,7,2015-01-09
200,8,8,29.99,62847.0375,29626.24325,19.56,-0.433884,-0.900969,8,2015-01-09
201,8,9,28.33,63250.12,30853.81825,19.56,-0.433884,-0.900969,9,2015-01-09
202,8,10,28.51,63638.7825,32224.406000000003,19.56,-0.433884,-0.900969,10,2015-01-09
203,8,11,31.69,64733.275,32832.503249999994,19.56,-0.433884,-0.900969,11,2015-01-09
204,8,12,31.11,63920.0275,32654.627,19.56,-0.433884,-0.900969,12,2015-01-09
205,8,13,29.95,61498.5575,31996.1085,19.56,-0.433884,-0.900969,13,2015-01-09
206,8,14,29.17,60899.8475,31261.04625,19.56,-0.433884,-0.900969,14,2015-01-09
207,8,15,29.47,60830.02,30455.6225,19.56,-0.433884,-0.900969,15,2015-01-09
208,8,16,30.09,61308.53,29923.2535,19.56,-0.433884,-0.900969,16,2015-01-09
209,8,17,33.47,63877.2725,29228.146,19.56,-0.433884,-0.900969,17,2015-01-09
210,8,18,32.78,64149.01,28016.3975,19.56,-0.433884,-0.900969,18,2015-01-09
211,8,19,33.47,62803.195,26278.062,19.56,-0.433884,-0.900969,19,2015-01-09
212,8,20,30.11,59255.0875,24256.045,19.56,-0.433884,-0.900969,20,2015-01-09
213,8,21,26.69,55099.92,23062.0375,19.56,-0.433884,-0.900969,21,2015-01-09
214,8,22,21.64,52338.4675,22431.81,19.56,-0.433884,-0.900969,22,2015-01-09
215,8,23,14.72,50093.855,22100.28,19.56,-0.433884,-0.900969,23,2015-01-09
216,9,0,17.1,47723.16,21644.78825,19.56,-0.974928,-0.222521,0,2015-01-10
217,9,1,12.93,46463.9525,18570.25875,19.56,-0.974928,-0.222521,1,2015-01-10
218,9,2,13.7,45167.1625,19336.22175,19.56,-0.974928,-0.222521,2,2015-01-10
219,9,3,11.01,45024.695,20665.934,19.56,-0.974928,-0.222521,3,2015-01-10
220,9,4,9.08,45633.16,21949.249,19.56,-0.974928,-0.222521,4,2015-01-10
221,9,5,9.28,45378.87,23717.75175,19.56,-0.974928,-0.222521,5,2015-01-10
222,9,6,7.19,45735.995,25649.52625,19.56,-0.974928,-0.222521,6,2015-01-10
223,9,7,9.31,48758.355,27135.1705,19.56,-0.974928,-0.222521,7,2015-01-10
224,9,8,11.35,52160.595,28773.54325,19.56,-0.974928,-0.222521,8,2015-01-10
225,9,9,15.87,55057.575,30490.65375,19.56,-0.974928,-0.222521,9,2015-01-10
226,9,10,15.84,56622.525,32292.915,19.56,-0.974928,-0.222521,10,2015-01-10
227,9,11,14.83,58080.2525,33522.46625,19.56,-0.974928,-0.222521,11,2015-01-10
228,9,12,15.83,57204.67,33881.0225,19.56,-0.974928,-0.222521,12,2015-01-10
229,9,13,14.85,55645.935,33599.007,19.56,-0.974928,-0.222521,13,2015-01-10
230,9,14,11.42,54834.0975,32908.0925,19.56,-0.974928,-0.222521,14,2015-01-10
231,9,15,11.34,53908.7125,31729.42675,19.56,-0.974928,-0.222521,15,2015-01-10
232,9,16,14.15,55688.1825,30724.87325,19.56,-0.974928,-0.222521,16,2015-01-10
233,9,17,17.09,58009.3325,30122.836,19.56,-0.974928,-0.222521,17,2015-01-10
234,9,18,18.87,58348.5275,29772.57025,19.56,-0.974928,-0.222521,18,2015-01-10
235,9,19,13.44,56279.6225,29322.88525,19.56,-0.974928,-0.222521,19,2015-01-10
236,9,20,15.82,52930.865,28535.7275,19.56,-0.974928,-0.222521,20,2015-01-10
237,9,21,11.51,50829.015,27742.52,19.56,-0.974928,-0.222521,21,2015-01-10
238,9,22,11.81,50419.4275,27004.08,19.56,-0.974928,-0.222521,22,2015-01-10
239,9,23,5.08,48050.0275,26310.93,19.56,-0.974928,-0.222521,23,2015-01-10
240,10,0,0.05,45123.9775,26352.92525,19.56,-0.781831,0.62349,0,2015-01-11
241,10,1,-2.06,42726.06,26646.6295,19.56,-0.781831,0.62349,1,2015-01-11
242,10,2,-4.11,41490.3375,26775.74125,19.56,-0.781831,0.62349,2,2015-01-11
243,10,3,-5.06,41679.985,26744.24425,19.56,-0.781831,0.62349,3,2015-01-11
244,10,4,-4.12,41888.965,26937.41325,19.56,-0.781831,0.62349,4,2015-01-11
245,10,5,-0.74,41742.515,27133.5035,19.56,-0.781831,0.62349,5,2015-01-11
246,10,6,-25.02,41097.65,27309.75825,19.56,-0.781831,0.62349,6,2015-01-11
247,10,7,-16.94,42868.255,27591.654,19.56,-0.781831,0.62349,7,2015-01-11
248,10,8,-6.86,45536.885,28175.84725,19.56,-0.781831,0.62349,8,2015-01-11
249,10,9,1.53,48478.94,29558.702,19.56,-0.781831,0.62349,9,2015-01-11
250,10,10,5.61,50667.815,31408.47175,19.56,-0.781831,0.62349,10,2015-01-11
251,10,11,9.91,53164.7375,33030.372,19.56,-0.781831,0.62349,11,2015-01-11
252,10,12,8.71,53106.825,33815.13325,19.56,-0.781831,0.62349,12,2015-01-11
253,10,13,-0.09,51107.5625,33797.397,19.56,-0.781831,0.62349,13,2015-01-11
254,10,14,-0.07,49639.33,32562.95375,19.56,-0.781831,0.62349,14,2015-01-11
255,10,15,-1.8,49314.7475,30780.6425,19.56,-0.781831,0.62349,15,2015-01-11
256,10,16,0.61,50397.125,29601.57575,19.56,-0.781831,0.62349,16,2015-01-11
257,10,17,13.51,54905.8375,29360.01375,19.56,-0.781831,0.62349,17,2015-01-11
258,10,18,11.44,56457.6575,29291.68675,19.56,-0.781831,0.62349,18,2015-01-11
259,10,19,14.88,55327.1275,29106.03575,19.56,-0.781831,0.62349,19,2015-01-11
260,10,20,9.63,52497.9825,29009.2425,19.56,-0.781831,0.62349,20,2015-01-11
261,10,21,9.29,50954.44,29185.045,19.56,-0.781831,0.62349,21,2015-01-11
262,10,22,10.18,50990.3725,29395.11,19.56,-0.781831,0.62349,22,2015-01-11
263,10,23,-2.0,48127.1625,29479.745,19.56,-0.781831,0.62349,23,2015-01-11
264,11,0,9.3,45185.0475,28482.9245,19.76,0.0,1.0,0,2015-01-12
265,11,1,2.87,43427.675,27272.51175,19.76,0.0,1.0,1,2015-01-12
266,11,2,0.09,42625.39,26795.68125,19.76,0.0,1.0,2,2015-01-12
267,11,3,0.26,42934.265,26446.50525,19.76,0.0,1.0,3,2015-01-12
268,11,4,2.83,44453.125,26349.42975,19.76,0.0,1.0,4,2015-01-12
269,11,5,10.4,47842.615,26511.133,19.76,0.0,1.0,5,2015-01-12
270,11,6,20.03,55431.9575,26845.57825,19.76,0.0,1.0,6,2015-01-12
271,11,7,44.95,61972.2525,27333.72425,19.76,0.0,1.0,7,2015-01-12
272,11,8,44.92,65053.75,27995.04375,19.76,0.0,1.0,8,2015-01-12
273,11,9,36.33,65964.24,29197.09225,19.76,0.0,1.0,9,2015-01-12
274,11,10,30.41,67170.265,30726.797,19.76,0.0,1.0,10,2015-01-12
275,11,11,30.07,68290.1125,32089.26875,19.76,0.0,1.0,11,2015-01-12
276,11,12,29.33,68444.0175,32644.1305,19.76,0.0,1.0,12,2015-01-12
277,11,13,29.39,67317.9525,32441.201,19.76,0.0,1.0,13,2015-01-12
278,11,14,28.98,65433.0575,31773.943,19.76,0.0,1.0,14,2015-01-12
279,11,15,29.49,66377.0875,30742.78725,19.76,0.0,1.0,15,2015-01-12
280,11,16,28.99,66108.6725,29799.28325,19.76,0.0,1.0,16,2015-01-12
281,11,17,34.41,68752.325,29353.45075,19.76,0.0,1.0,17,2015-01-12
282,11,18,31.69,68890.63,29076.9965,19.76,0.0,1.0,18,2015-01-12
283,11,19,29.59,67173.08,28437.4415,19.76,0.0,1.0,19,2015-01-12
284,11,20,27.61,62977.375,27585.2975,19.76,0.0,1.0,20,2015-01-12
285,11,21,15.55,59797.3875,26728.095,19.76,0.0,1.0,21,2015-01-12
286,11,22,14.91,56882.22,25766.825,19.76,0.0,1.0,22,2015-01-12
287,11,23,9.1,51716.145,24733.8725,19.76,0.0,1.0,23,2015-01-12
288,12,0,9.27,47575.2025,23846.6045,20.451,0.781831,0.62349,0,2015-01-13
289,12,1,10.42,46713.8725,22357.6065,20.451,0.781831,0.62349,1,2015-01-13
290,12,2,11.16,45718.9525,22133.7935,20.451,0.781831,0.62349,2,2015-01-13
291,12,3,10.71,45932.275,22392.851,20.451,0.781831,0.62349,3,2015-01-13
292,12,4,11.26,47249.2675,22949.87825,20.451,0.781831,0.62349,4,2015-01-13
293,12,5,11.69,50146.88,23469.49425,20.451,0.781831,0.62349,5,2015-01-13
294,12,6,21.05,56157.6525,23753.0765,20.451,0.781831,0.62349,6,2015-01-13
295,12,7,32.37,62086.8075,23736.62825,20.451,0.781831,0.62349,7,2015-01-13
296,12,8,34.21,64632.43,24009.89575,20.451,0.781831,0.62349,8,2015-01-13
297,12,9,28.47,65267.4875,26964.4085,20.451,0.781831,0.62349,9,2015-01-13
298,12,10,26.07,66078.5675,30516.8345,20.451,0.781831,0.62349,10,2015-01-13
299,12,11,23.74,67010.5725,32820.56675,20.451,0.781831,0.62349,11,2015-01-13
300,12,12,23.73,66879.6425,33126.9045,20.451,0.781831,0.62349,12,2015-01-13
301,12,13,23.76,65844.315,31571.042,20.451,0.781831,0.62349,13,2015-01-13
302,12,14,25.62,63215.68,28484.93775,20.451,0.781831,0.62349,14,2015-01-13
303,12,15,28.91,64523.675,24461.32075,20.451,0.781831,0.62349,15,2015-01-13
304,12,16,34.13,64840.69,21341.8875,20.451,0.781831,0.62349,16,2015-01-13
