IDX__global,IDX__step,IDX__sub_step,TARG__MGP_NORD,FUTU__D_NORD,FUTU__WIND_NORD,CONST__wd_sin,CONST__wd_cos,Hour,Date
209,8,17,65.036227,24018.0,5.428,-0.433884,-0.900969,17,2015-01-09
210,8,18,63.98,23713.0,6.61,-0.433884,-0.900969,18,2015-01-09
211,8,19,58.43,22722.0,7.697,-0.433884,-0.900969,19,2015-01-09
212,8,20,51.8,20974.0,8.548,-0.433884,-0.900969,20,2015-01-09
213,8,21,50.4,19103.0,9.315,-0.433884,-0.900969,21,2015-01-09
214,8,22,48.8,17083.0,9.937,-0.433884,-0.900969,22,2015-01-09
215,8,23,44.96,15676.0,10.25,-0.433884,-0.900969,23,2015-01-09
216,9,0,42.49,14076.0,11.011,-0.974928,-0.222521,0,2015-01-10
217,9,1,38.797225,13152.0,11.4,-0.974928,-0.222521,1,2015-01-10
218,9,2,34.51,12686.0,11.538,-0.974928,-0.222521,2,2015-01-10
219,9,3,33.35,12432.0,11.567,-0.974928,-0.222521,3,2015-01-10
220,9,4,32.68,12458.0,10.883,-0.974928,-0.222521,4,2015-01-10
221,9,5,34.51,12862.0,10.725,-0.974928,-0.222521,5,2015-01-10
222,9,6,42.99,14227.0,10.321,-0.974928,-0.222521,6,2015-01-10
223,9,7,49.11,16570.0,9.801,-0.974928,-0.222521,7,2015-01-10
224,9,8,50.16,17871.0,9.065,-0.974928,-0.222521,8,2015-01-10
225,9,9,49.28,19063.0,8.271,-0.974928,-0.222521,9,2015-01-10
226,9,10,47.01,19236.0,7.706,-0.974928,-0.222521,10,2015-01-10
227,9,11,44.49,18548.0,7.304,-0.974928,-0.222521,11,2015-01-10
228,9,12,40.78,17149.0,6.901,-0.974928,-0.222521,12,2015-01-10
229,9,13,38.0,16231.0,6.432,-0.974928,-0.222521,13,2015-01-10
230,9,14,39.46,15706.0,6.111,-0.974928,-0.222521,14,2015-01-10
231,9,15,45.0,15705.0,5.954,-0.974928,-0.222521,15,2015-01-10
232,9,16,47.72,16277.0,6.107,-0.974928,-0.222521,16,2015-01-10
233,9,17,53.1,18513.0,6.604,-0.974928,-0.222521,17,2015-01-10
234,9,18,52.84,19223.0,7.205,-0.974928,-0.222521,18,2015-01-10
235,9,19,51.95,18888.0,7.897,-0.974928,-0.222521,19,2015-01-10
236,9,20,49.0,17550.0,8.371,-0.974928,-0.222521,20,2015-01-10
237,9,21,46.44,16261.0,8.851,-0.974928,-0.222521,21,2015-01-10
238,9,22,44.49,14788.0,9.555,-0.974928,-0.222521,22,2015-01-10
239,9,23,40.83,13516.0,10.186,-0.974928,-0.222521,23,2015-01-10
240,10,0,39.24,13122.0,10.488,-0.781831,0.62349,0,2015-01-11
241,10,1,34.45,11993.0,10.349,-0.781831,0.62349,1,2015-01-11
242,10,2,27.74,11498.0,10.117,-0.781831,0.62349,2,2015-01-11
243,10,3,20.0,11396.0,10.064,-0.781831,0.62349,3,2015-01-11
244,10,4,20.0,11401.0,10.095,-0.781831,0.62349,4,2015-01-11
245,10,5,25.01,11646.0,10.307,-0.781831,0.62349,5,2015-01-11
246,10,6,33.76,12218.0,10.509,-0.781831,0.62349,6,2015-01-11
247,10,7,37.27,12851.0,11.016,-0.781831,0.62349,7,2015-01-11
248,10,8,38.78,13353.0,11.208,-0.781831,0.62349,8,2015-01-11
249,10,9,40.01,14507.0,11.515,-0.781831,0.62349,9,2015-01-11
250,10,10,37.0,15239.0,12.041,-0.781831,0.62349,10,2015-01-11
251,10,11,34.51,15545.0,12.513,-0.781831,0.62349,11,2015-01-11
252,10,12,33.76,15408.0,12.937,-0.781831,0.62349,12,2015-01-11
253,10,13,28.0,14626.0,13.222,-0.781831,0.62349,13,2015-01-11
254,10,14,30.2,14696.0,13.272,-0.781831,0.62349,14,2015-01-11
255,10,15,35.51,14397.0,12.875,-0.781831,0.62349,15,2015-01-11
256,10,16,44.53,14779.0,11.702,-0.781831,0.62349,16,2015-01-11
257,10,17,53.48,16007.0,10.503,-0.781831,0.62349,17,2015-01-11
258,10,18,55.0,16982.0,9.35,-0.781831,0.62349,18,2015-01-11
259,10,19,58.71,17199.0,8.945,-0.781831,0.62349,19,2015-01-11
260,10,20,55.6,16474.0,8.624,-0.781831,0.62349,20,2015-01-11
261,10,21,49.21,15504.0,9.012,-0.781831,0.62349,21,2015-01-11
262,10,22,45.01,14072.0,9.557,-0.781831,0.62349,22,2015-01-11
263,10,23,38.96,12865.0,9.51,-0.781831,0.62349,23,2015-01-11
264,11,0,33.78,12102.0,10.845,0.0,1.0,0,2015-01-12
265,11,1,28.3,11331.0,9.969,0.0,1.0,1,2015-01-12
266,11,2,22.08,11074.0,8.954,0.0,1.0,2,2015-01-12
267,11,3,19.8,11159.0,7.839,0.0,1.0,3,2015-01-12
268,11,4,25.0,11616.0,7.278,0.0,1.0,4,2015-01-12
269,11,5,33.62,12956.0,6.746,0.0,1.0,5,2015-01-12
270,11,6,48.07,16742.0,6.153,0.0,1.0,6,2015-01-12
271,11,7,55.23,21509.0,5.184,0.0,1.0,7,2015-01-12
272,11,8,65.0,24821.0,3.733,0.0,1.0,8,2015-01-12
273,11,9,61.28,26002.0,2.86,0.0,1.0,9,2015-01-12
274,11,10,54.28,26054.0,2.28,0.0,1.0,10,2015-01-12
275,11,11,53.36,25740.0,1.629,0.0,1.0,11,2015-01-12
276,11,12,47.88,23557.0,1.375,0.0,1.0,12,2015-01-12
277,11,13,48.36,23913.0,1.231,0.0,1.0,13,2015-01-12
278,11,14,52.69,24493.0,1.16,0.0,1.0,14,2015-01-12
279,11,15,57.35,24480.0,1.104,0.0,1.0,15,2015-01-12
280,11,16,59.21,24864.0,0.842,0.0,1.0,16,2015-01-12
281,11,17,61.82,25988.0,1.054,0.0,1.0,17,2015-01-12
282,11,18,59.8,25295.0,1.974,0.0,1.0,18,2015-01-12
283,11,19,55.5,23803.0,2.617,0.0,1.0,19,2015-01-12
284,11,20,51.7,22230.0,3.235,0.0,1.0,20,2015-01-12
285,11,21,51.52,20541.0,3.982,0.0,1.0,21,2015-01-12
286,11,22,48.93,18383.0,4.52,0.0,1.0,22,2015-01-12
287,11,23,45.74,16590.0,4.779,0.0,1.0,23,2015-01-12
288,12,0,44.2,15731.0,4.89,0.781831,0.62349,0,2015-01-13
289,12,1,41.53,14639.0,4.73,0.781831,0.62349,1,2015-01-13
290,12,2,40.78,14238.0,4.413,0.781831,0.62349,2,2015-01-13
291,12,3,40.288547,14196.0,4.171,0.781831,0.62349,3,2015-01-13
292,12,4,41.53,14353.0,3.809,0.781831,0.62349,4,2015-01-13
293,12,5,46.59,15054.0,3.404,0.781831,0.62349,5,2015-01-13
294,12,6,51.54,18223.0,3.025,0.781831,0.62349,6,2015-01-13
295,12,7,57.03,22116.0,2.868,0.781831,0.62349,7,2015-01-13
296,12,8,69.16,25251.0,2.746,0.781831,0.62349,8,2015-01-13
297,12,9,64.97,26512.0,2.503,0.781831,0.62349,9,2015-01-13
298,12,10,59.946946,26838.0,2.253,0.781831,0.62349,10,2015-01-13
299,12,11,55.39,26298.0,1.996,0.781831,0.62349,11,2015-01-13
300,12,12,49.44,25104.0,1.863,0.781831,0.62349,12,2015-01-13
301,12,13,49.04,24865.0,1.935,0.781831,0.62349,13,2015-01-13
302,12,14,53.157845,25581.0,2.094,0.781831,0.62349,14,2015-01-13
303,12,15,57.80613,25310.0,2.241,0.781831,0.62349,15,2015-01-13
304,12,16,60.21,25318.0,2.4,0.781831,0.62349,16,2015-01-13
305,12,17,64.49,26297.0,2.606,0.781831,0.62349,17,2015-01-13
306,12,18,62.08,25703.0,2.874,0.781831,0.62349,18,2015-01-13
307,12,19,57.3,24227.0,3.318,0.781831,0.62349,19,2015-01-13
308,12,20,51.56,22532.0,3.788,0.781831,0.62349,20,2015-01-13
309,12,21,50.02,20844.0,4.335,0.781831,0.62349,21,2015-01-13
310,12,22,49.37,18818.0,4.793,0.781831,0.62349,22,2015-01-13
311,12,23,48.47,17111.0,5.17,0.781831,0.62349,23,2015-01-13
312,13,0,42.78,15326.0,5.549,0.974928,-0.222521,0,2015-01-14
313,13,1,39.0,14622.0,5.695,0.974928,-0.222521,1,2015-01-14
314,13,2,38.0,14065.0,5.703,0.974928,-0.222521,2,2015-01-14
315,13,3,38.0,14003.0,5.594,0.974928,-0.222521,3,2015-01-14
316,13,4,40.21,14114.0,5.434,0.974928,-0.222521,4,2015-01-14
317,13,5,43.53,15273.0,5.214,0.974928,-0.222521,5,2015-01-14
318,13,6,47.92,18806.0,4.966,0.974928,-0.222521,6,2015-01-14
319,13,7,54.56,23259.0,4.737,0.974928,-0.222521,7,2015-01-14
320,13,8,64.42,25639.0,4.581,0.974928,-0.222521,8,2015-01-14
321,13,9,59.99,26639.0,4.475,0.974928,-0.222521,9,2015-01-14
322,13,10,54.87,27002.0,4.589,0.974928,-0.222521,10,2015-01-14
323,13,11,52.73,27029.0,4.854,0.974928,-0.222521,11,2015-01-14
324,13,12,48.12,24292.0,5.045,0.974928,-0.222521,12,2015-01-14
325,13,13,48.0,24255.0,5.253,0.974928,-0.222521,13,2015-01-14
326,13,14,50.37,24128.0,5.416,0.974928,-0.222521,14,2015-01-14
327,13,15,53.45,24066.0,5.5,0.974928,-0.222521,15,2015-01-14
328,13,16,57.04,24516.0,5.532,0.974928,-0.222521,16,2015-01-14
329,13,17,60.99,25605.0,5.675,0.974928,-0.222521,17,2015-01-14
330,13,18,60.12,25222.0,5.794,0.974928,-0.222521,18,2015-01-14
331,13,19,55.8,23712.0,5.616,0.974928,-0.222521,19,2015-01-14
332,13,20,50.88,21893.0,5.27,0.974928,-0.222521,20,2015-01-14
333,13,21,49.5,20054.0,4.913,0.974928,-0.222521,21,2015-01-14
334,13,22,48.0,17906.0,4.504,0.974928,-0.222521,22,2015-01-14
335,13,23,44.21,16325.0,3.685,0.974928,-0.222521,23,2015-01-14
336,14,0,43.83,15890.0,3.685,0.433884,-0.900969,0,2015-01-15
337,14,1,41.0,15157.0,3.153,0.433884,-0.900969,1,2015-01-15
338,14,2,39.0,14518.0,2.626,0.433884,-0.900969,2,2015-01-15
339,14,3,39.0,14374.0,2.278,0.433884,-0.900969,3,2015-01-15
340,14,4,41.0,14526.0,2.503,0.433884,-0.900969,4,2015-01-15
341,14,5,45.53,15468.0,2.293,0.433884,-0.900969,5,2015-01-15
342,14,6,50.32,18780.0,2.241,0.433884,-0.900969,6,2015-01-15
343,14,7,58.83,22933.0,2.312,0.433884,-0.900969,7,2015-01-15
344,14,8,69.96,25594.0,2.359,0.433884,-0.900969,8,2015-01-15
345,14,9,66.73,26788.0,2.488,0.433884,-0.900969,9,2015-01-15
346,14,10,61.51,27167.0,2.876,0.433884,-0.900969,10,2015-01-15
347,14,11,56.72,27294.0,3.249,0.433884,-0.900969,11,2015-01-15
348,14,12,50.0,24435.0,3.691,0.433884,-0.900969,12,2015-01-15
349,14,13,49.95,24045.0,4.256,0.433884,-0.900969,13,2015-01-15
350,14,14,53.12,24316.0,4.856,0.433884,-0.900969,14,2015-01-15
351,14,15,54.27,23898.0,5.376,0.433884,-0.900969,15,2015-01-15
352,14,16,57.35,24566.0,5.814,0.433884,-0.900969,16,2015-01-15
353,14,17,63.99,25498.0,6.277,0.433884,-0.900969,17,2015-01-15
354,14,18,61.0,25367.0,6.764,0.433884,-0.900969,18,2015-01-15
355,14,19,56.34,24082.0,7.431,0.433884,-0.900969,19,2015-01-15
