IDX__global,IDX__step,IDX__sub_step,TARG__MGP_SUD,FUTU__D_SUD,FUTU__WIND_SUD,CONST__wd_sin,CONST__wd_cos,Hour,Date
150,6,6,51.96,2479.0,286.667,0.974928,-0.222521,6,2015-01-07
151,6,7,70.0,2987.0,229.854,0.974928,-0.222521,7,2015-01-07
152,6,8,74.0,3612.0,171.251,0.974928,-0.222521,8,2015-01-07
153,6,9,70.95,3870.0,138.392,0.974928,-0.222521,9,2015-01-07
154,6,10,66.4,3907.0,121.263,0.974928,-0.222521,10,2015-01-07
155,6,11,63.98,3814.0,119.132,0.974928,-0.222521,11,2015-01-07
156,6,12,54.99,3841.0,108.589,0.974928,-0.222521,12,2015-01-07
157,6,13,52.62,3710.0,79.593,0.974928,-0.222521,13,2015-01-07
158,6,14,64.342233,3764.0,74.555,0.974928,-0.222521,14,2015-01-07
159,6,15,65.0,3602.0,66.563,0.974928,-0.222521,15,2015-01-07
160,6,16,71.1,3691.0,52.466,0.974928,-0.222521,16,2015-01-07
161,6,17,95.0,4137.0,26.954,0.974928,-0.222521,17,2015-01-07
162,6,18,99.0,4239.0,24.091,0.974928,-0.222521,18,2015-01-07
163,6,19,95.66,4218.0,44.522,0.974928,-0.222521,19,2015-01-07
164,6,20,80.0,4121.0,57.035,0.974928,-0.222521,20,2015-01-07
165,6,21,75.64,3665.0,60.776,0.974928,-0.222521,21,2015-01-07
166,6,22,67.36,3202.0,52.397,0.974928,-0.222521,22,2015-01-07
167,6,23,60.51,2793.0,38.425,0.974928,-0.222521,23,2015-01-07
168,7,0,46.481837,2518.0,82.317,0.433884,-0.900969,0,2015-01-08
169,7,1,40.85,2285.0,73.395,0.433884,-0.900969,1,2015-01-08
170,7,2,40.03,2197.0,74.955,0.433884,-0.900969,2,2015-01-08
171,7,3,38.85,2107.0,72.129,0.433884,-0.900969,3,2015-01-08
172,7,4,39.1,2091.0,73.358,0.433884,-0.900969,4,2015-01-08
173,7,5,44.41,2131.0,65.588,0.433884,-0.900969,5,2015-01-08
174,7,6,60.0,2409.0,79.168,0.433884,-0.900969,6,2015-01-08
175,7,7,66.4,2859.0,60.69,0.433884,-0.900969,7,2015-01-08
176,7,8,78.24,3220.0,43.214,0.433884,-0.900969,8,2015-01-08
177,7,9,76.0,3322.0,40.584,0.433884,-0.900969,9,2015-01-08
178,7,10,71.35,3650.0,215.667,0.433884,-0.900969,10,2015-01-08
179,7,11,66.95,4054.0,232.271,0.433884,-0.900969,11,2015-01-08
180,7,12,57.75,3764.0,246.719,0.433884,-0.900969,12,2015-01-08
181,7,13,57.89,3425.0,229.199,0.433884,-0.900969,13,2015-01-08
182,7,14,65.15,3452.0,238.37,0.433884,-0.900969,14,2015-01-08
183,7,15,65.0,3511.0,243.353,0.433884,-0.900969,15,2015-01-08
184,7,16,69.99,3667.0,250.684,0.433884,-0.900969,16,2015-01-08
185,7,17,94.0,4005.0,264.829,0.433884,-0.900969,17,2015-01-08
186,7,18,94.0,3967.0,314.862,0.433884,-0.900969,18,2015-01-08
187,7,19,90.0,3969.0,351.358,0.433884,-0.900969,19,2015-01-08
188,7,20,78.8,3926.0,409.891,0.433884,-0.900969,20,2015-01-08
189,7,21,69.24,3601.0,485.035,0.433884,-0.900969,21,2015-01-08
190,7,22,60.99,3185.0,571.734,0.433884,-0.900969,22,2015-01-08
191,7,23,49.56,2754.0,673.789,0.433884,-0.900969,23,2015-01-08
192,8,0,44.89,2590.0,651.926,-0.433884,-0.900969,0,2015-01-09
193,8,1,41.1,2353.0,733.858,-0.433884,-0.900969,1,2015-01-09
194,8,2,40.8,2209.0,794.524,-0.433884,-0.900969,2,2015-01-09
195,8,3,40.03,2116.0,852.367,-0.433884,-0.900969,3,2015-01-09
196,8,4,40.8,2145.0,854.531,-0.433884,-0.900969,4,2015-01-09
197,8,5,46.21,2289.0,818.178,-0.433884,-0.900969,5,2015-01-09
198,8,6,52.04,2644.0,756.45,-0.433884,-0.900969,6,2015-01-09
199,8,7,66.4,2849.0,646.897,-0.433884,-0.900969,7,2015-01-09
200,8,8,78.89,3112.0,514.728,-0.433884,-0.900969,8,2015-01-09
201,8,9,71.94,3729.0,396.635,-0.433884,-0.900969,9,2015-01-09
202,8,10,65.394986,3584.0,333.679,-0.433884,-0.900969,10,2015-01-09
203,8,11,63.98,3360.0,286.678,-0.433884,-0.900969,11,2015-01-09
204,8,12,52.44,3500.0,274.147,-0.433884,-0.900969,12,2015-01-09
205,8,13,51.05,3347.0,283.186,-0.433884,-0.900969,13,2015-01-09
206,8,14,54.45,3333.0,284.013,-0.433884,-0.900969,14,2015-01-09
207,8,15,58.0,3436.0,330.554,-0.433884,-0.900969,15,2015-01-09
208,8,16,61.0,3631.0,439.296,-0.433884,-0.900969,16,2015-01-09
209,8,17,77.9,4270.0,638.252,-0.433884,-0.900969,17,2015-01-09
210,8,18,74.99,4308.0,846.325,-0.433884,-0.900969,18,2015-01-09
211,8,19,65.5,4273.0,1026.504,-0.433884,-0.900969,19,2015-01-09
212,8,20,60.99,4170.0,1194.346,-0.433884,-0.900969,20,2015-01-09
213,8,21,58.21,3856.0,1372.369,-0.433884,-0.900969,21,2015-01-09
214,8,22,48.8,3346.0,1480.368,-0.433884,-0.900969,22,2015-01-09
215,8,23,44.96,2912.0,1529.292,-0.433884,-0.900969,23,2015-01-09
216,9,0,42.49,2443.0,1683.117,-0.974928,-0.222521,0,2015-01-10
217,9,1,38.797225,2243.0,1706.598,-0.974928,-0.222521,1,2015-01-10
218,9,2,34.51,2115.0,1707.23,-0.974928,-0.222521,2,2015-01-10
219,9,3,33.35,2085.0,1699.583,-0.974928,-0.222521,3,2015-01-10
220,9,4,32.68,2056.0,1677.26,-0.974928,-0.222521,4,2015-01-10
221,9,5,34.51,2131.0,1660.323,-0.974928,-0.222521,5,2015-01-10
222,9,6,42.99,2305.0,1611.893,-0.974928,-0.222521,6,2015-01-10
223,9,7,49.11,2597.0,1519.979,-0.974928,-0.222521,7,2015-01-10
224,9,8,50.16,2978.0,1417.32,-0.974928,-0.222521,8,2015-01-10
225,9,9,49.28,3233.0,1289.934,-0.974928,-0.222521,9,2015-01-10
226,9,10,47.01,3387.0,1187.568,-0.974928,-0.222521,10,2015-01-10
227,9,11,44.49,3234.0,1100.159,-0.974928,-0.222521,11,2015-01-10
228,9,12,40.78,3231.0,1011.547,-0.974928,-0.222521,12,2015-01-10
229,9,13,38.0,3134.0,947.983,-0.974928,-0.222521,13,2015-01-10
230,9,14,39.46,3142.0,894.14,-0.974928,-0.222521,14,2015-01-10
231,9,15,45.0,3081.0,862.65,-0.974928,-0.222521,15,2015-01-10
232,9,16,52.0,3266.0,902.551,-0.974928,-0.222521,16,2015-01-10
233,9,17,75.9,3856.0,997.972,-0.974928,-0.222521,17,2015-01-10
234,9,18,79.0,4020.0,1107.85,-0.974928,-0.222521,18,2015-01-10
235,9,19,74.99,4067.0,1215.854,-0.974928,-0.222521,19,2015-01-10
236,9,20,66.4,4022.0,1339.729,-0.974928,-0.222521,20,2015-01-10
237,9,21,53.69,3680.0,1449.49,-0.974928,-0.222521,21,2015-01-10
238,9,22,47.11,3309.0,1542.249,-0.974928,-0.222521,22,2015-01-10
239,9,23,40.83,3081.0,1616.951,-0.974928,-0.222521,23,2015-01-10
240,10,0,39.24,2244.0,1675.911,-0.781831,0.62349,0,2015-01-11
241,10,1,34.45,2009.0,1625.817,-0.781831,0.62349,1,2015-01-11
242,10,2,27.74,1864.0,1551.709,-0.781831,0.62349,2,2015-01-11
243,10,3,20.0,1789.0,1542.623,-0.781831,0.62349,3,2015-01-11
244,10,4,20.0,1782.0,1553.308,-0.781831,0.62349,4,2015-01-11
245,10,5,25.01,1840.0,1577.806,-0.781831,0.62349,5,2015-01-11
246,10,6,33.76,1911.0,1586.413,-0.781831,0.62349,6,2015-01-11
247,10,7,37.27,2004.0,1640.503,-0.781831,0.62349,7,2015-01-11
248,10,8,38.78,2232.0,1667.655,-0.781831,0.62349,8,2015-01-11
249,10,9,40.01,2373.0,1694.925,-0.781831,0.62349,9,2015-01-11
250,10,10,37.0,2380.0,1734.315,-0.781831,0.62349,10,2015-01-11
251,10,11,34.51,2550.0,1770.126,-0.781831,0.62349,11,2015-01-11
252,10,12,33.76,2834.0,1825.753,-0.781831,0.62349,12,2015-01-11
253,10,13,28.0,2755.0,1881.982,-0.781831,0.62349,13,2015-01-11
254,10,14,30.2,2513.0,1916.253,-0.781831,0.62349,14,2015-01-11
255,10,15,35.51,2533.0,1917.386,-0.781831,0.62349,15,2015-01-11
256,10,16,44.53,2806.0,1848.465,-0.781831,0.62349,16,2015-01-11
257,10,17,53.48,4101.0,1785.592,-0.781831,0.62349,17,2015-01-11
258,10,18,55.0,4149.0,1704.571,-0.781831,0.62349,18,2015-01-11
259,10,19,58.71,4303.0,1610.645,-0.781831,0.62349,19,2015-01-11
260,10,20,55.6,4243.0,1543.911,-0.781831,0.62349,20,2015-01-11
261,10,21,49.21,4250.0,1640.484,-0.781831,0.62349,21,2015-01-11
262,10,22,45.01,3995.0,1830.969,-0.781831,0.62349,22,2015-01-11
263,10,23,38.96,3688.0,1946.388,-0.781831,0.62349,23,2015-01-11
264,11,0,33.78,2047.0,2123.464,0.0,1.0,0,2015-01-12
265,11,1,28.3,1872.0,2070.002,0.0,1.0,1,2015-01-12
266,11,2,22.08,1758.0,2060.732,0.0,1.0,2,2015-01-12
267,11,3,19.8,1707.0,1940.919,0.0,1.0,3,2015-01-12
268,11,4,25.0,1756.0,1806.53,0.0,1.0,4,2015-01-12
269,11,5,33.62,1889.0,1673.215,0.0,1.0,5,2015-01-12
270,11,6,48.07,2284.0,1545.041,0.0,1.0,6,2015-01-12
271,11,7,55.23,2799.0,1364.265,0.0,1.0,7,2015-01-12
272,11,8,65.0,3064.0,1171.565,0.0,1.0,8,2015-01-12
273,11,9,61.28,3153.0,1006.832,0.0,1.0,9,2015-01-12
274,11,10,53.68,2976.0,931.188,0.0,1.0,10,2015-01-12
275,11,11,53.12,2972.0,889.997,0.0,1.0,11,2015-01-12
276,11,12,47.88,3252.0,863.486,0.0,1.0,12,2015-01-12
277,11,13,48.36,3289.0,809.006,0.0,1.0,13,2015-01-12
278,11,14,52.69,3096.0,729.254,0.0,1.0,14,2015-01-12
279,11,15,57.35,3114.0,641.466,0.0,1.0,15,2015-01-12
280,11,16,61.91,3324.0,583.744,0.0,1.0,16,2015-01-12
281,11,17,77.99,3641.0,575.479,0.0,1.0,17,2015-01-12
282,11,18,83.0,3724.0,591.34,0.0,1.0,18,2015-01-12
283,11,19,76.13,3782.0,677.69,0.0,1.0,19,2015-01-12
284,11,20,69.99,3688.0,822.829,0.0,1.0,20,2015-01-12
285,11,21,60.99,3392.0,987.804,0.0,1.0,21,2015-01-12
286,11,22,53.69,2985.0,1102.182,0.0,1.0,22,2015-01-12
287,11,23,45.74,2571.0,1169.823,0.0,1.0,23,2015-01-12
288,12,0,44.2,2240.0,1121.405,0.781831,0.62349,0,2015-01-13
289,12,1,41.53,2033.0,1110.416,0.781831,0.62349,1,2015-01-13
290,12,2,40.78,1865.0,1075.699,0.781831,0.62349,2,2015-01-13
291,12,3,40.288547,1833.0,1043.637,0.781831,0.62349,3,2015-01-13
292,12,4,41.53,1872.0,984.878,0.781831,0.62349,4,2015-01-13
293,12,5,46.59,2002.0,897.214,0.781831,0.62349,5,2015-01-13
294,12,6,51.54,2344.0,833.405,0.781831,0.62349,6,2015-01-13
295,12,7,57.03,2876.0,797.16,0.781831,0.62349,7,2015-01-13
296,12,8,70.0,3087.0,747.875,0.781831,0.62349,8,2015-01-13
297,12,9,61.45,3132.0,692.225,0.781831,0.62349,9,2015-01-13
298,12,10,53.68,2996.0,613.502,0.781831,0.62349,10,2015-01-13
299,12,11,53.13,3157.0,548.787,0.781831,0.62349,11,2015-01-13
300,12,12,49.44,3496.0,501.721,0.781831,0.62349,12,2015-01-13
301,12,13,49.04,3421.0,473.229,0.781831,0.62349,13,2015-01-13
302,12,14,53.157845,3317.0,456.304,0.781831,0.62349,14,2015-01-13
303,12,15,57.80613,3354.0,443.358,0.781831,0.62349,15,2015-01-13
304,12,16,66.73,3556.0,455.949,0.781831,0.62349,16,2015-01-13
305,12,17,78.41,3771.0,507.923,0.781831,0.62349,17,2015-01-13
306,12,18,81.11,3791.0,566.903,0.781831,0.62349,18,2015-01-13
307,12,19,74.0,3836.0,644.508,0.781831,0.62349,19,2015-01-13
308,12,20,68.99,3744.0,732.805,0.781831,0.62349,20,2015-01-13
309,12,21,60.99,3375.0,833.11,0.781831,0.62349,21,2015-01-13
310,12,22,53.13,2985.0,916.409,0.781831,0.62349,22,2015-01-13
311,12,23,48.47,2586.0,1002.092,0.781831,0.62349,23,2015-01-13
312,13,0,42.78,2403.0,1113.373,0.974928,-0.222521,0,2015-01-14
313,13,1,39.0,2098.0,1150.42,0.974928,-0.222521,1,2015-01-14
314,13,2,38.0,1951.0,1187.761,0.974928,-0.222521,2,2015-01-14
315,13,3,38.0,1867.0,1195.919,0.974928,-0.222521,3,2015-01-14
316,13,4,40.21,1842.0,1178.617,0.974928,-0.222521,4,2015-01-14
317,13,5,43.53,2038.0,1144.74,0.974928,-0.222521,5,2015-01-14
318,13,6,47.92,2325.0,1104.255,0.974928,-0.222521,6,2015-01-14
319,13,7,54.56,2489.0,1062.634,0.974928,-0.222521,7,2015-01-14
320,13,8,64.42,2718.0,1035.103,0.974928,-0.222521,8,2015-01-14
321,13,9,58.41,2839.0,1006.121,0.974928,-0.222521,9,2015-01-14
322,13,10,53.13,2628.0,986.989,0.974928,-0.222521,10,2015-01-14
323,13,11,49.4,2759.0,980.172,0.974928,-0.222521,11,2015-01-14
324,13,12,48.12,2765.0,970.953,0.974928,-0.222521,12,2015-01-14
325,13,13,48.0,2720.0,965.236,0.974928,-0.222521,13,2015-01-14
326,13,14,50.37,2639.0,956.807,0.974928,-0.222521,14,2015-01-14
327,13,15,53.13,2566.0,952.224,0.974928,-0.222521,15,2015-01-14
328,13,16,56.49,2927.0,993.347,0.974928,-0.222521,16,2015-01-14
329,13,17,60.99,3477.0,1067.454,0.974928,-0.222521,17,2015-01-14
330,13,18,61.91,3555.0,1137.97,0.974928,-0.222521,18,2015-01-14
331,13,19,57.99,3595.0,1171.32,0.974928,-0.222521,19,2015-01-14
332,13,20,51.75,3507.0,1183.608,0.974928,-0.222521,20,2015-01-14
333,13,21,49.5,3270.0,1191.191,0.974928,-0.222521,21,2015-01-14
334,13,22,49.608033,3007.0,1144.808,0.974928,-0.222521,22,2015-01-14
335,13,23,44.21,2632.0,1081.058,0.974928,-0.222521,23,2015-01-14
336,14,0,43.83,2031.0,1115.355,0.433884,-0.900969,0,2015-01-15
337,14,1,41.0,1899.0,996.437,0.433884,-0.900969,1,2015-01-15
338,14,2,39.0,1801.0,877.817,0.433884,-0.900969,2,2015-01-15
339,14,3,39.0,1788.0,769.065,0.433884,-0.900969,3,2015-01-15
340,14,4,41.0,1716.0,681.931,0.433884,-0.900969,4,2015-01-15
341,14,5,45.53,1830.0,598.453,0.433884,-0.900969,5,2015-01-15
342,14,6,50.32,2262.0,522.746,0.433884,-0.900969,6,2015-01-15
343,14,7,58.83,2442.0,464.471,0.433884,-0.900969,7,2015-01-15
344,14,8,69.96,2800.0,416.327,0.433884,-0.900969,8,2015-01-15
345,14,9,66.73,3560.0,395.983,0.433884,-0.900969,9,2015-01-15
346,14,10,61.51,3532.0,426.172,0.433884,-0.900969,10,2015-01-15
347,14,11,53.69,3415.0,491.137,0.433884,-0.900969,11,2015-01-15
348,14,12,50.0,3364.0,592.002,0.433884,-0.900969,12,2015-01-15
349,14,13,49.95,3168.0,708.181,0.433884,-0.900969,13,2015-01-15
350,14,14,53.12,3684.0,826.945,0.433884,-0.900969,14,2015-01-15
351,14,15,53.69,3531.0,920.014,0.433884,-0.900969,15,2015-01-15
